component,SS,df,eta2,pct
Between-stage,0.22019035227076375,3,0.01878937725582396,1.8789377255823958
"Between-experiment
(within stage)",0.0,0,0.0,0.0
"Between-cell
(within experiment)",11.498684056007637,140,0.9812106227441756,98.12106227441755
