stage,stage_label,stage_order_idx,n_cells,n_experiments,log10D_mean,log10D_median,log10D_SD,log10D_SD_ci_lo,log10D_SD_ci_hi,log10D_IQR,D_cv_pct,D_cv_ci_lo,D_cv_ci_hi,D_IQR,fold_range,log10D_p025,log10D_p975
syncytial,Syncytial,0,40,1,-0.0041160148197407435,1.1102230246251565e-16,0.3028671014451591,0.23815953135173148,0.3609181854463263,0.3617000956460083,71.83328294194791,57.04737223743173,82.51263007522205,0.017496641939188675,32.68402298363328,-0.49164979776922807,0.5331477443807314
cellularization,Cellularization,1,10,1,0.1514475086455895,-2.220446049250313e-16,0.4684173551804233,0.21165224695119816,0.6283076154150692,0.41364037757918637,140.63088248263546,47.083243765718336,175.09505880673794,0.010672799488450251,219.8299068621538,-0.48224103389445805,0.9957400530284974
mzt,MZT,2,39,1,0.009431075762589907,0.0,0.2629446019376468,0.2087141661994605,0.3103032004082971,0.4192890970874261,57.038384121835186,44.635677864042165,66.86798192787089,0.028836138167149555,20.64063289218681,-0.44910421268527617,0.38491138570715366
gastrulation,Gastrulation,3,55,1,-0.004853266871527325,0.0,0.24792565730760874,0.18545469573161175,0.3001011621161845,0.27757951914399803,79.20064642047518,47.638256706530406,96.79300345370588,0.01034374717690595,17.363140781063933,-0.43126271226049084,0.5618694233149408
