stage_A,stage_B,levene_BF_stat,levene_BF_p,levene_BF_sig,mw_stat,mw_p,mw_sig,cliffs_delta,effect_size,n_A,n_B
syncytial,cellularization,1.001905874503391,0.3218692495619384,ns,165.0,0.4027342847656734,ns,-0.175,small,40,10
syncytial,mzt,0.2508528995971122,0.6179038929307761,ns,750.0,0.7723737737097417,ns,-0.038461538461538464,negligible,40,39
syncytial,gastrulation,2.08706250868691,0.1519123482204287,ns,1131.0,0.8181676111600436,ns,0.028181818181818183,negligible,40,55
cellularization,mzt,1.8986738573564463,0.1747522785642626,ns,231.0,0.37850911948987276,ns,0.18461538461538463,small,10,39
cellularization,gastrulation,3.5876595895979033,0.06280296021558002,ns,328.0,0.3398076122846837,ns,0.19272727272727272,small,10,55
mzt,gastrulation,1.0501297832228136,0.30816415009495957,ns,1155.5,0.5266698882088817,ns,0.0773892773892774,negligible,39,55
