embryo,overall_cv,MeanD_part5,CV_part5,N_part5,MeanD_part10,CV_part10,N_part10,MeanD_part15,CV_part15,N_part15,MeanD_part20,CV_part20,N_part20
Round2_Set1,0.2264136025211297,0.02622974132685317,1.5170253232883515,864.0,0.025438554170531154,1.0656186259130487,388.0,0.02140504546642067,1.004853219799643,141.0,0.013814989580863931,0.9284926127935882,57.0
Round2_Set1001,0.36620745558937595,0.019221440403068245,1.968858779423267,630.0,0.01768131525814253,1.3757181110933956,291.0,0.009741889752846976,1.3055225826756596,114.0,0.007631163780854382,1.2969872790721562,61.0
Round2_Set1002,0.2771657515977175,0.015372165373706618,1.8932726945397582,490.0,0.015323651955367655,1.237058967341276,229.0,0.010465251629955504,1.2528128074964031,95.0,0.007450013446458576,1.1830809971621488,54.0
Round2_Set1003,0.36196840456986745,0.02728112481236439,1.5955624508709152,445.0,0.02441935527402305,1.1643639277646205,209.0,0.014511346423465878,1.528709479597897,51.0,0.010387039064704472,1.3153028497195935,25.0
Round2_Set1004,0.20264135333958339,0.01303676068410367,1.9406823509982245,1000.0,0.012414123703204952,1.5252270407461532,457.0,0.008838618186520465,1.3718383423507965,199.0,0.00812305659589794,1.3598287419635842,111.0
Round2_Set1005,0.17593027003229358,0.017107148909954142,1.7623543616626633,792.0,0.016602212795455276,1.1992726617448286,361.0,0.013868492655252222,1.4043856140899669,132.0,0.010671812796613913,1.5189363455540479,62.0
Round2_Set1006,0.2282611701193814,0.020731373204796254,1.5419828458785052,379.0,0.02012138449387367,1.1842035417066135,173.0,0.013085703346189106,1.0154910401906154,58.0,0.012614698914986679,0.9917211709924717,26.0
Round2_Set1007,0.11465405436025376,0.02675299649430351,1.4432183070982876,416.0,0.026603853578495894,0.9329941746333816,193.0,0.02200644346886302,0.8016542871048463,48.0,0.020550168956759533,0.8679410425945362,18.0
Round2_Set1008,0.1981633075163213,0.02092298259280975,1.7620337948439782,726.0,0.020626565010142563,1.1638361206273575,327.0,0.014605167666136301,0.9393701015625677,136.0,0.013308467089725705,1.1360217206773453,59.0
Round2_Set1009,0.1896270513153545,0.022360952834069858,1.6053634905959815,801.0,0.021498021652889943,1.100727822256098,365.0,0.018417135844455375,1.2391548980382405,129.0,0.01321866232629462,1.1637783291678885,54.0
Round2_Set1010,0.08956148278861263,0.02894561276129947,1.4279222421217297,445.0,0.0316594438815873,0.8947742708024606,203.0,0.026482156132751653,1.0166651123957604,75.0,0.02506107866382201,0.8199098058166903,34.0
Round2_Set1011,0.20605501229511117,0.0262597389134132,1.5192314334454124,480.0,0.024593879736556946,0.9660372216706852,220.0,0.01961042593355658,0.8029887031795072,68.0,0.015030657760334118,0.7585517040616213,27.0
Round2_Set1012,0.3379107070846484,0.014097463175435405,1.9586297996288047,386.0,0.014017844924841504,1.4717201695062847,183.0,0.0079206559986831,1.419010704799094,71.0,0.006157319797442343,0.9075626419944097,43.0
