Inside_ROIs_D,Outside_ROIs_D
0.17502637020954148,0.028076113846011434
0.004666047426959537,0.006903287195152632
0.37621427905581517,-0.025791351960043982
0.011632310860703958,0.24926256816475953
0.4338425684383486,0.01069548056822814
0.2353871537734921,0.07810522535321239
0.16954618573875668,0.09590692175382476
0.02809495246796365,0.017375263857162204
0.21205861894292705,0.07808151138408623
0.15763732193426697,0.28295282359245993
0.038389956107711724,0.17132653825755217
0.0809606518755574,0.07760245180096238
0.11285691468356733,0.08676649698738234
0.3467830847106297,0.09658876023720113
0.2081145076360962,0.10310674205408721
0.05433707561036291,0.00012850923470545455
0.03533762215005842,0.003709311624195371
0.0727505749720674,0.20339000540278285
0.009138533793309164,0.6019048043443083
0.009624637189455441,0.06618491768446927
0.08289906115444112,0.2615259488937867
0.03911215258448248,0.19563767914803554
0.0935953144292304,0.003993511650907218
0.036582163902601106,0.10676010489058453
0.22839457814523959,0.06728708453846596
0.023828815959112307,0.01876837038034446
0.34701463770953794,0.043612126593268116
0.01947630255223455,0.02958045152271546
0.1320359624308503,0.02175830425926551
0.017492918945039276,0.3176079202147601
0.06053506609313709,0.06096369267785863
0.017845179286028044,0.00430136309600522
0.21396633182256422,0.20012137254508594
0.027714787417825956,0.1172375286580234
0.1458522546650406,0.027401615578593743
0.29585213807719307,0.025795633287117113
0.0012396288879289933,0.11176487769128403
0.02231055479800899,0.31396536970196653
0.05119152477211427,0.0168848578667532
0.07797939411308799,0.17500354035875365
0.06317307074584853,0.03076313255070805
0.18081246368135168,0.008329960435215427
0.3580533292328933,0.1644009581155835
0.061503441731512266,0.04346364307761588
0.0534000841344742,0.1455664031185215
0.33318607410660417,0.018268169319754595
0.052432976888741205,0.25577639375256855
0.26791904691390667,0.10640939266434928
0.17109892796088613,0.16728712250827876
0.008286237895656825,0.07395072377526941
0.47345302964228797,0.028912007380796613
0.034815657066814915,0.09310087501051531
0.29980989623674914,0.16484001882505556
0.01371595362983801,0.12007130122933618
0.07784186734120536,0.01664919851406878
0.20071652156460817,0.04244319450990062
0.027527484496361342,0.2278460901946392
0.0007832508558683429,0.005753814376587137
0.20929291737583441,0.026169928837242534
0.0040040317125017025,0.014007960783327156
0.3975061828165889,0.009276825732196136
0.10394016227520991,0.004488229757032577
0.042083860364923883,0.009712990647399404
0.22634021141030475,0.20629824823524656
0.12971406946469097,0.059722403665685236
0.18950233793079269,-0.004051653032872603
0.6296342736703402,0.14662912099533776
0.01009714304745165,0.07128879325049295
0.14217523973040616,0.28253971647180054
0.26694196858370467,0.011376544866025292
0.3079106371223207,0.048277151384728954
0.20199429077794928,0.17196713757115673
0.057022950786631235,0.03795109892562698
0.109548663024844,0.027009285301981222
0.1925295803111423,0.09124480201370087
0.0967054377360062,0.045886170924426976
0.23349844331970177,0.01630753002587574
0.18539959435812967,0.2558800122701402
0.04954189355283884,0.06611579840852079
0.08931545783331263,0.013968450227650808
0.03763852733545238,0.6436200851550435
0.2756779645345119,0.19723047630715793
0.02401051913374444,0.006234128013617134
0.08022115639218089,0.017913402603949358
0.02210501492240427,0.1786569045770177
