trajectory_id,track_length,alpha,alpha_err,alpha_r_squared,alpha_p_value,alpha_method,D_generalized,D_original,D_err_original,diffusion_type,radius_of_gyration,r_squared_original,n_time_lags,alpha_powerlaw,alpha_powerlaw_err,alpha_powerlaw_r_squared
1,32,1.1142007601508752,0.044599889458370075,0.9889083855886414,4.2004496952619663e-08,loglog,0.007317849841900872,0.007959154795534664,0.00020415962556792811,super-diffusion,0.11672537272313806,0.9941131343221336,9,1.2411114526236955,0.03989532904948068,0.996556409315641
11,60,0.8628705663350278,0.05924350854899614,0.9298657036666056,1.1872133315012115e-10,loglog,0.01940420977448821,0.023993469966882848,0.0005594309282378439,sub-diffusion,0.215252638655911,0.9951311123597317,18,0.6001244406764349,0.09681028385172331,0.8225228363606876
14,34,1.0042401965759313,0.04711443007803352,0.9826961820189384,2.4686194249668016e-08,loglog,0.003951978052934981,0.004355595864151938,0.00010008753721608853,normal,0.08351160212332315,0.99527014003265,10,1.1260224302494668,0.028587619348398197,0.9974474784508509
19,11,0.3549656752273424,0.07612402654607582,0.9157663779771593,0.04304316817467713,loglog,0.0024370504944926574,0.002411574750515524,0.0004825316869904728,sub-diffusion,0.05743838190531482,0.9258642762772207,4,0.37462099709743396,0.09431859856408602,0.8984893592356616
20,12,0.7043262710686883,0.14168165876294855,0.925129295515178,0.038163581727548634,loglog,0.022543056073382587,0.021256731693400296,0.00669449605405277,sub-diffusion,0.12717585587626742,0.8344678363919282,4,0.5880056635663967,0.1764882332609534,0.8863673876222795
22,17,0.9042587446205941,0.05074288683730498,0.9906415760926471,0.00038531565312478115,loglog,0.023860932372145423,0.026492848944127092,0.000984830244145272,normal,0.17648217595821977,0.994502930551075,5,0.9768773863063926,0.06724199766493515,0.9914450006558972
45,17,0.8338125294998734,0.12260308030111478,0.9390892360082919,0.00650068299350183,loglog,0.003556517091749803,0.00484081642946309,0.00046544517970342574,sub-diffusion,0.07626973387586206,0.964339313742364,5,1.067799103473831,0.15781224417885462,0.9608048252983596
46,90,0.96311332737651,0.019182195318753592,0.9901803469536814,1.2641934253195994e-26,loglog,0.003697646416114006,0.003862788787975978,0.00012652056587444897,normal,0.11253779491162035,0.9904370960726403,27,0.8625258502781273,0.032444368562660544,0.9835281647499978
50,19,0.3693006052984531,0.08213858653139414,0.8707710934806134,0.020538619187279356,loglog,0.01863977755855736,0.014062144584476929,0.0021190917896096906,sub-diffusion,0.20548660767328528,0.8980331935542682,5,0.32542566639892845,0.08403409478816015,0.8594283951543134
51,90,0.9617387137058052,0.04544494477554412,0.9471303165743825,1.7766980057554776e-17,loglog,0.004308050911853612,0.005796035184800367,0.00010336166642918851,normal,0.15596314422069288,0.9971459720056823,27,0.6314799815896903,0.05668420011098852,0.9090957914541997
52,90,0.5006906524517177,0.03640513702663763,0.8832611263605931,3.661633779587948e-13,loglog,0.0032829485989613843,0.0033834251004444,9.798877707817008e-05,sub-diffusion,0.09196625203772658,0.992507686856657,27,0.3633810845686813,0.04692600625364293,0.7972490929630309
55,28,0.4658453131384421,0.06328548013684342,0.9003066052665426,0.0003219543072647546,loglog,0.004946627595926976,0.004479048433850143,0.0003982090171389841,sub-diffusion,0.11582394411450449,0.9335877317797585,8,0.44807951183957073,0.08708268277617062,0.8563711922619255
60,10,0.9264887919303553,0.12085769324480632,0.9670872687464407,0.016594046821740704,loglog,0.0041759578673156265,0.004592671722726198,0.0004661911503106688,normal,0.05777087741241246,0.9798085420752672,4,1.0140878618907476,0.1295652489392386,0.9798786278697718
63,36,0.4736841102765447,0.12711162899149672,0.6344854924677235,0.005816706454240954,loglog,0.014951855863236807,0.005715012071570251,0.002553270802194782,sub-diffusion,0.2005503433208197,0.3576032015793815,10,0.28781297599291794,0.1217458337811735,0.5031289641647161
