embryo,noise_floor_D_um2s,partition_size_used,note
Set2_pre,0.015039715425469773,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Set2_pre001,0.010857117727690152,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Set2_pre002,0.012020497773246507,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Set2_pre003,0.007326341380252927,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Set2_pre004,0.018282800161321777,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Set2_pre005,0.007705532647380234,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Set2_pre006,0.012820048704135787,5,Mean D from 5-frame partitions (upper-bound noise estimate)
