cell_label,area_px,perimeter_px,circularity,centroid_x,centroid_y,n_trajectories,n_points,n_valid_traj,D_median,D_mean,D_std,D_iqr,D_p25,D_p75
36,2250.0,185.1959594928933,0.8243836458563618,443.82444444444445,61.11333333333334,30,155,5.0,0.001997738762090768,0.002406830898943718,0.0011088523642748484,0.002362685886286776,0.0013322057080296028,0.0036948915943163787
156,3626.0,286.5512985522207,0.5549232256059058,555.4726971869829,387.27054605626034,80,332,7.0,0.0077639895321494935,0.1318423988161354,0.23587030578083457,0.10309246962620064,0.004241276660111284,0.10733374628631193
197,3678.0,298.04877323527904,0.5202917166004348,582.3724850462207,494.22920065252856,130,459,6.0,0.018874359170385595,0.02102906697774018,0.013723239245310548,0.020882887981749653,0.0105511776229715,0.03143406560472115
205,2077.0,185.1959594928933,0.7609977033082949,492.784785748676,502.48724121328837,103,383,6.0,0.007855616265181636,0.012292022115347058,0.008514176755632645,0.010424833226586147,0.006507757413667482,0.01693259064025363
218,3268.0,231.095454429505,0.7689694842330791,917.5073439412485,547.6695226438188,61,242,5.0,0.006952717280197289,0.021659491365762003,0.02427602012684107,0.034801304693943304,0.0015697156864279227,0.036371020380371225
252,2122.0,223.58073580374355,0.5334411094879848,550.0890669180019,667.8407163053723,64,401,6.0,0.012204183303829714,0.01681206457793671,0.012991795193182736,0.01585660161797958,0.006764487790883525,0.022621089408863104
341,3319.0,227.92388155425118,0.8028556199004776,499.83368484483276,889.6254896053028,111,485,5.0,0.006148563708148708,0.00834752908135199,0.006429153746484137,0.012344817220292603,0.0019992747608628975,0.0143440919811555
377,2762.0,224.3797256769669,0.689392116597861,820.4493120926865,993.2255611875453,66,507,18.0,0.09521922271158664,0.12003910618195454,0.13676912837299904,0.10749859675043305,0.032007991882721555,0.1395065886331546
379,2724.0,220.02438661763952,0.7070910323801528,867.0238619676945,993.3241556534508,50,370,11.0,0.006394448526996039,0.02329834221206883,0.05055571809420761,0.013806170123302687,0.0012795249944057424,0.01508569511770843
383,3554.0,251.23759005323595,0.7075514898235801,942.904614518852,999.1693866066404,113,1014,39.0,0.03777115674412277,0.058184853580373036,0.05791598764158768,0.08415152793024024,0.010423191939986542,0.09457471987022678
