FileName,DiffusionCoefficient,CumulativeProbability
tracked_Traj_Later.nd2_crop,-0.04158018749372739,0.0013513513513513514
tracked_Traj_Later.nd2_crop,-0.02702433132398354,0.002702702702702703
tracked_Traj_Later.nd2_crop,-0.011422347498337992,0.004054054054054054
tracked_Traj_Later.nd2_crop,-0.009218381762072991,0.005405405405405406
tracked_Traj_Later.nd2_crop,-0.008815850071828278,0.006756756756756757
tracked_Traj_Later.nd2_crop,-0.006896831617213132,0.008108108108108109
tracked_Traj_Later.nd2_crop,-0.006655954561218096,0.00945945945945946
tracked_Traj_Later.nd2_crop,-0.005846965042240658,0.010810810810810811
tracked_Traj_Later.nd2_crop,-0.005701836586532813,0.012162162162162163
tracked_Traj_Later.nd2_crop,-0.005601063103698331,0.013513513513513514
tracked_Traj_Later.nd2_crop,-0.005264897504716366,0.014864864864864866
tracked_Traj_Later.nd2_crop,-0.0025051040574514834,0.016216216216216217
tracked_Traj_Later.nd2_crop,-0.0024508478490503902,0.01756756756756757
tracked_Traj_Later.nd2_crop,-0.001936692680597947,0.01891891891891892
tracked_Traj_Later.nd2_crop,-0.0011874749745115487,0.02027027027027027
tracked_Traj_Later.nd2_crop,-0.0008564553969945967,0.021621621621621623
tracked_Traj_Later.nd2_crop,-0.0006148989239421237,0.022972972972972974
tracked_Traj_Later.nd2_crop,-0.0006064239394858385,0.024324324324324326
tracked_Traj_Later.nd2_crop,-0.00047676389509970833,0.025675675675675677
tracked_Traj_Later.nd2_crop,-0.0002655412070377014,0.02702702702702703
tracked_Traj_Later.nd2_crop,-0.00021893022578023472,0.02837837837837838
tracked_Traj_Later.nd2_crop,-0.0001582222108799846,0.02972972972972973
tracked_Traj_Later.nd2_crop,-0.00015771623412442806,0.031081081081081083
tracked_Traj_Later.nd2_crop,-0.0001406387477171922,0.032432432432432434
tracked_Traj_Later.nd2_crop,-6.225638858100224e-05,0.033783783783783786
tracked_Traj_Later.nd2_crop,8.130723215695447e-05,0.03513513513513514
tracked_Traj_Later.nd2_crop,0.00015239179594985817,0.03648648648648649
tracked_Traj_Later.nd2_crop,0.00015604182152525152,0.03783783783783784
tracked_Traj_Later.nd2_crop,0.0002046236033950155,0.03918918918918919
tracked_Traj_Later.nd2_crop,0.00035231668143486533,0.04054054054054054
tracked_Traj_Later.nd2_crop,0.0003561700579471819,0.041891891891891894
tracked_Traj_Later.nd2_crop,0.0004035803736448325,0.043243243243243246
tracked_Traj_Later.nd2_crop,0.0004750333838738757,0.0445945945945946
tracked_Traj_Later.nd2_crop,0.0004966643692182393,0.04594594594594595
tracked_Traj_Later.nd2_crop,0.0005558360751269862,0.0472972972972973
tracked_Traj_Later.nd2_crop,0.0006071604512297463,0.04864864864864865
tracked_Traj_Later.nd2_crop,0.000632250793426289,0.05
tracked_Traj_Later.nd2_crop,0.0007781356266410201,0.051351351351351354
tracked_Traj_Later.nd2_crop,0.0007935037890831638,0.052702702702702706
tracked_Traj_Later.nd2_crop,0.0008032595015745935,0.05405405405405406
tracked_Traj_Later.nd2_crop,0.0008291054210280979,0.05540540540540541
tracked_Traj_Later.nd2_crop,0.0008477972507516189,0.05675675675675676
tracked_Traj_Later.nd2_crop,0.0008753034777639813,0.05810810810810811
tracked_Traj_Later.nd2_crop,0.0009074284530636342,0.05945945945945946
tracked_Traj_Later.nd2_crop,0.0010439824179300985,0.060810810810810814
tracked_Traj_Later.nd2_crop,0.0010688866702835006,0.062162162162162166
tracked_Traj_Later.nd2_crop,0.0010741674728055094,0.06351351351351352
tracked_Traj_Later.nd2_crop,0.0011390553588497391,0.06486486486486487
tracked_Traj_Later.nd2_crop,0.0011480925922616367,0.06621621621621622
tracked_Traj_Later.nd2_crop,0.0011571319699439503,0.06756756756756757
tracked_Traj_Later.nd2_crop,0.0012173372006143819,0.06891891891891892
tracked_Traj_Later.nd2_crop,0.0012356804964664932,0.07027027027027027
tracked_Traj_Later.nd2_crop,0.0012713687315697737,0.07162162162162163
tracked_Traj_Later.nd2_crop,0.0012909350124650273,0.07297297297297298
tracked_Traj_Later.nd2_crop,0.001322320752940839,0.07432432432432433
tracked_Traj_Later.nd2_crop,0.0013995437409509703,0.07567567567567568
tracked_Traj_Later.nd2_crop,0.0014546047704711114,0.07702702702702703
tracked_Traj_Later.nd2_crop,0.0014731379612827563,0.07837837837837838
tracked_Traj_Later.nd2_crop,0.001473586648793912,0.07972972972972973
tracked_Traj_Later.nd2_crop,0.001496998942834049,0.08108108108108109
tracked_Traj_Later.nd2_crop,0.0015272129551804658,0.08243243243243244
tracked_Traj_Later.nd2_crop,0.0015905163446535036,0.08378378378378379
tracked_Traj_Later.nd2_crop,0.0016333407794517827,0.08513513513513514
tracked_Traj_Later.nd2_crop,0.0017052582391679926,0.08648648648648649
tracked_Traj_Later.nd2_crop,0.001730161894473493,0.08783783783783784
tracked_Traj_Later.nd2_crop,0.0018091174031307185,0.0891891891891892
tracked_Traj_Later.nd2_crop,0.0019078618044276138,0.09054054054054055
tracked_Traj_Later.nd2_crop,0.0019436400660140048,0.0918918918918919
tracked_Traj_Later.nd2_crop,0.0019610235082008105,0.09324324324324325
tracked_Traj_Later.nd2_crop,0.0019629085996291044,0.0945945945945946
tracked_Traj_Later.nd2_crop,0.0019847529380910074,0.09594594594594595
tracked_Traj_Later.nd2_crop,0.002080505578402941,0.0972972972972973
tracked_Traj_Later.nd2_crop,0.0020999298527195143,0.09864864864864865
tracked_Traj_Later.nd2_crop,0.0021395089531215847,0.1
tracked_Traj_Later.nd2_crop,0.002142728295237551,0.10135135135135136
tracked_Traj_Later.nd2_crop,0.0021431210499249427,0.10270270270270271
tracked_Traj_Later.nd2_crop,0.0021650965986477013,0.10405405405405406
tracked_Traj_Later.nd2_crop,0.0022392878386552355,0.10540540540540541
tracked_Traj_Later.nd2_crop,0.002270659437563576,0.10675675675675676
tracked_Traj_Later.nd2_crop,0.0022880596187999655,0.10810810810810811
tracked_Traj_Later.nd2_crop,0.0022928857138926595,0.10945945945945947
tracked_Traj_Later.nd2_crop,0.0022930311369126904,0.11081081081081082
tracked_Traj_Later.nd2_crop,0.0023307283249948134,0.11216216216216217
tracked_Traj_Later.nd2_crop,0.0023868071368455136,0.11351351351351352
tracked_Traj_Later.nd2_crop,0.002440834387761889,0.11486486486486487
tracked_Traj_Later.nd2_crop,0.002578322717628512,0.11621621621621622
tracked_Traj_Later.nd2_crop,0.0026129585641375902,0.11756756756756757
tracked_Traj_Later.nd2_crop,0.0026524566459220867,0.11891891891891893
tracked_Traj_Later.nd2_crop,0.0026539862412618617,0.12027027027027028
tracked_Traj_Later.nd2_crop,0.002655284004660483,0.12162162162162163
tracked_Traj_Later.nd2_crop,0.0026766345504255985,0.12297297297297298
tracked_Traj_Later.nd2_crop,0.002738592556639531,0.12432432432432433
tracked_Traj_Later.nd2_crop,0.0027504315015931947,0.12567567567567567
tracked_Traj_Later.nd2_crop,0.0028607362043923217,0.12702702702702703
tracked_Traj_Later.nd2_crop,0.002881820425681888,0.12837837837837837
tracked_Traj_Later.nd2_crop,0.002936117525689817,0.12972972972972974
tracked_Traj_Later.nd2_crop,0.002964868241264946,0.13108108108108107
tracked_Traj_Later.nd2_crop,0.002965924488901895,0.13243243243243244
tracked_Traj_Later.nd2_crop,0.0029679072361423775,0.13378378378378378
tracked_Traj_Later.nd2_crop,0.003026748058583381,0.13513513513513514
tracked_Traj_Later.nd2_crop,0.0031771933477336696,0.13648648648648648
tracked_Traj_Later.nd2_crop,0.0031811574763503906,0.13783783783783785
tracked_Traj_Later.nd2_crop,0.0031927406073516762,0.13918918918918918
tracked_Traj_Later.nd2_crop,0.0031993230285370764,0.14054054054054055
tracked_Traj_Later.nd2_crop,0.0032580763592808598,0.14189189189189189
tracked_Traj_Later.nd2_crop,0.003283156431661094,0.14324324324324325
tracked_Traj_Later.nd2_crop,0.0032867389353566905,0.1445945945945946
