FileName,MedianDiffusion,StandardError
tracked_Traj_Later.nd2_crop,0.04605289071856483,0.0035860405350969134
tracked_Traj_Later001.nd2_crop,0.07575896084384078,0.005563470621172556
tracked_Traj_Later002.nd2_crop,0.06866097143728922,0.004656806772575555
tracked_Traj_Later003.nd2_crop,0.09349765826396145,0.0050156378292859054
tracked_Traj_Later004.nd2_crop,0.0717355058391956,0.005009814865805703
tracked_Traj_Later005.nd2_crop,0.08976309439024477,0.006321441594529066
tracked_Traj_Later006.nd2_crop,0.09482691206767105,0.004528718342279936
tracked_Traj_Later007.nd2_crop,0.043065544844188924,0.018957107429059178
tracked_Traj_Later008.nd2_crop,0.09108149706380925,0.004875662593448782
tracked_Traj_Later009.nd2_crop,0.08973834023810855,0.003982703942961182
tracked_Traj_Later010.nd2_crop,0.09613983843291027,0.00534411553015587
tracked_Traj_Later011.nd2_crop,0.09591596229481025,0.003930663950402881
