FileName,MedianDiffusion,MeanDiffusion,StdDiffusion,SEMDiffusion,NumTrajectories,MinDiffusion,MaxDiffusion,NumTracks,MeanTrackLength
tracked_Traj_Round2_Set1.nd2_crop,0.09043119303550474,0.11738897445829112,0.10648366900668003,0.006077343990932049,307,-0.006238922510251248,0.6089943018327866,307,15.762214983713354
tracked_Traj_Round2_Set1001.nd2_crop,0.05636302652548859,0.09022157046290542,0.09787872763637899,0.0070454649815907145,193,-0.004291956647470715,0.5815787825343658,193,17.730569948186528
tracked_Traj_Round2_Set1002.nd2_crop,0.0476371269170842,0.07716404054183457,0.07868717761953872,0.006603281259529734,142,-0.002783314069720972,0.3864879736580928,142,18.640845070422536
tracked_Traj_Round2_Set1003.nd2_crop,0.0808389971159125,0.11592533704896911,0.11719689057089315,0.008910314591763637,173,-0.011119157469954965,0.5825909673757744,173,14.375722543352602
tracked_Traj_Round2_Set1004.nd2_crop,0.026997455498126387,0.061729121793584196,0.07975209960595522,0.004683204543736752,290,-0.0069997026709072785,0.4831716016268344,290,18.76206896551724
tracked_Traj_Round2_Set1005.nd2_crop,0.04694103173524494,0.0759841701672838,0.08257283806296045,0.005006713722656005,272,-0.0011330308776705202,0.4821153955699734,272,16.264705882352942
tracked_Traj_Round2_Set1006.nd2_crop,0.05353415053396615,0.08580743561170963,0.09279074458384057,0.007927648320044424,137,-0.018951494899032827,0.5058632918606129,137,15.10948905109489
tracked_Traj_Round2_Set1007.nd2_crop,0.08324051464994905,0.10917031538190954,0.09276687173520519,0.0071571195371229294,168,-0.009824259518709978,0.42260479458874345,168,13.68452380952381
tracked_Traj_Round2_Set1008.nd2_crop,0.06374739989291933,0.09695467057168,0.09570460611810501,0.006190616340781551,239,-0.011552442764464868,0.4841716910388168,239,16.95397489539749
tracked_Traj_Round2_Set1009.nd2_crop,0.07072159043671469,0.09822707612657358,0.10386464589333931,0.00614164526217481,286,-0.00870461376858955,0.7553336681945886,286,15.583916083916083
tracked_Traj_Round2_Set1010.nd2_crop,0.1011670114107959,0.12577214980181653,0.10739498391998707,0.008739679844399974,151,-4.870100347453594e-05,0.5996758660251912,151,16.28476821192053
tracked_Traj_Round2_Set1011.nd2_crop,0.07295260564238848,0.09949722581385989,0.08439459389660599,0.006255743505575033,182,-0.01528467189272358,0.3627053600503021,182,14.763736263736265
tracked_Traj_Round2_Set1012.nd2_crop,0.03820103366051652,0.0751102650772686,0.09900844067249125,0.009313930628673183,113,-0.0018412180973690863,0.6183112665453705,113,18.61946902654867
