track_id,length,D,offset,r_squared,embryo
2,10,0.09053852462862985,0.030185927675014573,1.0,Traj_Later.nd2_crop
33,14,0.1223856253425057,0.01348403161294569,0.9022956635385788,Traj_Later.nd2_crop
34,12,0.006227992923534455,0.003944493679973132,0.9911660118234579,Traj_Later.nd2_crop
35,17,0.14127573668252422,0.003844330075740278,0.9964546771796507,Traj_Later.nd2_crop
52,14,0.038413985090106434,0.029418474805135986,0.9011671065726266,Traj_Later.nd2_crop
145,11,0.0009914524778950687,0.015378046766999998,1.0,Traj_Later.nd2_crop
149,16,0.01654772178189937,-0.002936201867705283,0.983766202218043,Traj_Later.nd2_crop
158,14,0.03257466553507154,-0.0086493426309259,0.9877595433564637,Traj_Later.nd2_crop
160,16,0.04836577610850296,-0.003696473566625026,0.9924065496970536,Traj_Later.nd2_crop
166,12,0.0336594620174742,-0.0029602325024586785,0.9496918926583241,Traj_Later.nd2_crop
191,13,0.0242315357353079,-0.0024388740030142123,0.999390787904401,Traj_Later.nd2_crop
259,16,0.009397897050786157,-0.0006996856408090352,0.9759492220302259,Traj_Later.nd2_crop
304,10,0.006433602882016925,0.010516920878491329,1.0,Traj_Later.nd2_crop
359,19,0.06619312482922082,0.006187826021566692,0.9903283247479423,Traj_Later.nd2_crop
372,10,0.12824643289937504,0.026606832710830402,1.0,Traj_Later.nd2_crop
389,11,0.045615587763184536,0.012654455290396221,1.0,Traj_Later.nd2_crop
409,12,0.09151663298310977,-0.010409641884912401,0.9701174317474134,Traj_Later.nd2_crop
477,10,0.4710664679796334,-0.09687798382950837,1.0,Traj_Later.nd2_crop
492,13,0.049317159001408296,0.0047148582887591465,0.9992074147075025,Traj_Later.nd2_crop
542,10,-0.0048631370133276714,0.04482382220430494,1.0,Traj_Later.nd2_crop
551,19,0.43064572552308994,-0.12611085098325947,0.9806681937601786,Traj_Later.nd2_crop
598,11,0.12336409759925879,0.01777509600636842,1.0,Traj_Later.nd2_crop
603,16,0.07487144205938623,0.004496054803693617,0.9760268747837438,Traj_Later.nd2_crop
616,14,0.24387687884591766,-0.04688341155660914,0.9992025338198751,Traj_Later.nd2_crop
692,13,0.11634879249248285,-0.006493946148188645,0.9999814049848667,Traj_Later.nd2_crop
703,10,-0.00029471715538852817,0.0011377321124286623,1.0,Traj_Later.nd2_crop
706,10,0.13379217693616818,0.0030298245243669674,1.0,Traj_Later.nd2_crop
744,18,0.007694801158185765,0.0015586961674108122,0.9838948322634485,Traj_Later.nd2_crop
835,20,0.027248075846505935,0.025502410457221143,0.8704663061954114,Traj_Later.nd2_crop
887,10,0.10339177778442554,-0.001849457985626609,1.0,Traj_Later.nd2_crop
898,17,0.1285791477224016,-0.006578997337136118,0.9984140203115811,Traj_Later.nd2_crop
985,13,0.06396543196668145,0.01918040670315142,0.998523593947216,Traj_Later.nd2_crop
1027,10,0.0992841882358461,0.046176358684557404,1.0,Traj_Later.nd2_crop
1041,16,-0.0005010432538178345,0.006421958097658836,0.9965592337546498,Traj_Later.nd2_crop
1100,19,0.00024480851521926537,0.001568889258704564,0.1510080631350187,Traj_Later.nd2_crop
1159,11,-0.00025463355428635725,0.0018570235125589544,1.0,Traj_Later.nd2_crop
1252,12,0.19536562530301896,-0.0387264479868772,0.9714373360630056,Traj_Later.nd2_crop
1258,19,0.3057653661786528,-0.002767402250842239,0.9749111511975277,Traj_Later.nd2_crop
1348,11,0.1391122010793489,-0.02057305798929897,1.0,Traj_Later.nd2_crop
1355,13,0.11962661312247194,0.006500574303345341,0.9870511436093791,Traj_Later.nd2_crop
1365,12,0.007140722419736045,0.002970810210069614,0.9877244985915912,Traj_Later.nd2_crop
1551,10,0.08707483694243173,0.003149553140706937,1.0,Traj_Later.nd2_crop
