FileName,MedianDiffusion,MeanDiffusion,StdDiffusion,SEMDiffusion,NumTrajectories,MinDiffusion,MaxDiffusion,NumTracks,MeanTrackLength
tracked_Traj_Posteior_Set4018.nd2_crop,0.06818441708818505,0.09023998768889266,0.08147532144018457,0.0058345689550460085,195,-0.003633328715312291,0.405921888909119,195,15.256410256410257
tracked_Traj_Anterior_Set4016.nd2_crop,0.06459226563767212,0.0993752479342823,0.1037240092996682,0.005910223946247517,308,-0.028219840977911564,0.6140888268430493,308,15.775974025974026
tracked_Traj_Middle_Set4017.nd2_crop,0.03773643017049323,0.06960020636101598,0.08167892098402438,0.005104932561501524,256,-0.02435832193013077,0.40759956435884004,256,18.2109375
tracked_Traj_Posteior_Set4009.nd2_crop,0.04606507377542876,0.07737677523120483,0.08273764733897078,0.005821400552446061,202,-0.012997704574073865,0.3989298744027135,202,15.767326732673267
tracked_Traj_Anterior_Set4007.nd2_crop,0.0547556278980194,0.0948068955464006,0.09991689091554029,0.007082920603289465,199,-0.02236481078645919,0.4949128212775622,199,15.849246231155778
tracked_Traj_Middle_Set4008.nd2_crop,0.03325279385151397,0.056389652752984784,0.06900054545495418,0.004569672755511208,228,-0.02601837453932637,0.4993437683903066,228,16.982456140350877
tracked_Traj_Posteior_Set4018.nd2_crop.tif,0.06818441708818505,0.09023998768889266,0.08147532144018457,0.0058345689550460085,195,-0.003633328715312291,0.405921888909119,195,15.256410256410257
tracked_Traj_Anterior_Set4016.nd2_crop.tif,0.06459226563767212,0.0993752479342823,0.1037240092996682,0.005910223946247517,308,-0.028219840977911564,0.6140888268430493,308,15.775974025974026
tracked_Traj_Middle_Set4017.nd2_crop.tif,0.03773643017049323,0.06960020636101598,0.08167892098402438,0.005104932561501524,256,-0.02435832193013077,0.40759956435884004,256,18.2109375
tracked_Traj_Posteior_Set4009.nd2_crop.tif,0.04606507377542876,0.07737677523120483,0.08273764733897078,0.005821400552446061,202,-0.012997704574073865,0.3989298744027135,202,15.767326732673267
tracked_Traj_Anterior_Set4007.nd2_crop.tif,0.0547556278980194,0.0948068955464006,0.09991689091554029,0.007082920603289465,199,-0.02236481078645919,0.4949128212775622,199,15.849246231155778
tracked_Traj_Middle_Set4008.nd2_crop.tif,0.03325279385151397,0.056389652752984784,0.06900054545495418,0.004569672755511208,228,-0.02601837453932637,0.4993437683903066,228,16.982456140350877
