embryo,overall_cv,MeanD_part5,CV_part5,N_part5,MeanD_part10,CV_part10,N_part10,MeanD_part15,CV_part15,N_part15,MeanD_part20,CV_part20,N_part20
Later,0.21662151334519283,0.01722996735810239,1.920676490866763,2397.0,0.01670113508269762,1.476588565758055,1096.0,0.013147516290476986,1.4894854873484578,445.0,0.009601363584829893,1.5065933797644768,230.0
Later001,0.29589257888282944,0.023496501357683296,1.7888117065031135,1417.0,0.02251583846808835,1.247769935503723,656.0,0.0141835201554921,1.354373056549082,258.0,0.01118459678774331,1.2212266382998154,139.0
Later002,0.34380459616703846,0.022107052866134555,1.8004748880002,2039.0,0.021283701691787022,1.3115066704963787,942.0,0.012093166812899726,1.2607718886057495,380.0,0.009367811033228847,1.2524268655369186,207.0
Later003,0.3502163227003563,0.026757980902582645,1.7125186220003865,1994.0,0.025451029452776986,1.2237826160817884,934.0,0.014324934918829278,1.4249167069417568,329.0,0.011127850500944324,1.4738764934826283,190.0
Later004,0.27780941546435706,0.023140405858563133,1.7502521766100088,1801.0,0.022636515826025553,1.2274907743097863,848.0,0.013850372152325891,1.2579890057234049,306.0,0.012146211670069407,1.2501810882703979,177.0
Later005,0.2986938958996589,0.028130890039602962,1.7098215436353887,1288.0,0.026628535965494533,1.2240233917870955,601.0,0.016404517210869468,1.199647626950847,206.0,0.01349528603387039,1.1784716606893604,110.0
Later006,0.2938602828021218,0.02693599577024132,1.6692675075725647,2158.0,0.025366977612019986,1.1837481359716924,995.0,0.017107692755709145,1.2871615289180474,360.0,0.012284746533167568,1.2717735467476632,186.0
Later007,0.5508890560778656,0.02275366429856839,2.028969202198996,196.0,0.020807182506637417,1.7750106616869947,91.0,0.007410210652987648,1.448152438319016,28.0,0.005370124933506348,1.349793807353933,12.0
Later008,0.23330098778548364,0.025399179507726397,1.6586606462826534,1649.0,0.02495996384252961,1.128764992259338,770.0,0.018551182892790705,1.1678598284745259,274.0,0.013760537557961946,1.0923450497260978,161.0
Later009,0.2522748350074062,0.02415420466433044,1.7093335837500396,2920.0,0.02302648675304667,1.199461857393691,1359.0,0.016086456571648318,1.1959883037023185,563.0,0.012642592651609831,1.1787019467295494,326.0
Later010,0.2725086647159761,0.029746353898168966,1.5884810825367788,1749.0,0.03001687599771964,1.070231820071737,814.0,0.018849669029957657,0.970633402489785,286.0,0.015637386745324305,0.9921528224185843,149.0
Later011,0.20351503809998492,0.02828244154704012,1.5211092465041558,2728.0,0.027613552862908047,1.070116608975612,1255.0,0.02079620363079994,1.0166451755857018,459.0,0.016894708457740524,1.0369495620582756,233.0
