FileName,MedianDiffusion,MeanDiffusion,StdDiffusion,SEMDiffusion,NumTrajectories,MinDiffusion,MaxDiffusion,NumTracks,MeanTrackLength
tracked_Traj_Early.nd2_crop,0.047214771984343255,0.07188048453405368,0.08866718326138569,0.009002788449764779,97,-0.005311604613834863,0.49812676745437084,97,16.79381443298969
tracked_Traj_Early001.nd2_crop,0.06013423652131523,0.08342233474026745,0.08612239294741283,0.0037950060611099596,515,-0.02683847001361107,0.621101517617704,515,16.493203883495145
tracked_Traj_Early002.nd2_crop,0.04762340578127778,0.08880480681501955,0.10363833497176676,0.006034057149249354,295,-0.04424480805144919,0.5127783326282332,295,16.145762711864407
tracked_Traj_Early003.nd2_crop,0.05972107792181547,0.09245566490392179,0.10284303823791226,0.005610547707434176,336,-0.024537216987181427,0.6510803572178847,336,17.773809523809526
tracked_Traj_Early004.nd2_crop,0.035577243865556066,0.07601002775485588,0.10072551869197842,0.004796453271046591,441,-0.047056618423409136,0.7146232591031028,441,16.52607709750567
tracked_Traj_Early005.nd2_crop,0.01607047409250379,0.0465359736911188,0.07514619907567226,0.002925061831908123,660,-0.01602539254973771,0.6360288469270937,660,17.703030303030303
tracked_Traj_Early006.nd2_crop,0.03198232995488644,0.06641245058307167,0.08308198804984895,0.0037118294842826104,501,-0.01356922940786816,0.47444087413083086,501,16.15568862275449
tracked_Traj_Early007.nd2_crop,0.03946242395884758,0.07685020101404991,0.10071020227300116,0.004337895500004446,539,-0.02204643897016063,0.7818183697963244,539,19.31168831168831
tracked_Traj_Early008.nd2_crop,0.02795585599417267,0.06813678641157951,0.09605275938724492,0.004384188585584178,480,-0.024047743984553904,0.57195700571937,480,16.227083333333333
tracked_Traj_Early009.nd2_crop,0.03050483510765911,0.06499194234124137,0.08848771257150548,0.003989334173345305,492,-0.011653558822588431,0.7997411309403745,492,17.721544715447155
