FileName,MedianDiffusion,StandardError
tracked_Traj_Early.nd2_crop,0.047214771984343255,0.009002788449764779
tracked_Traj_Early001.nd2_crop,0.06013423652131523,0.0037950060611099596
tracked_Traj_Early002.nd2_crop,0.04762340578127778,0.006034057149249354
tracked_Traj_Early003.nd2_crop,0.05972107792181547,0.005610547707434176
tracked_Traj_Early004.nd2_crop,0.035577243865556066,0.004796453271046591
tracked_Traj_Early005.nd2_crop,0.01607047409250379,0.002925061831908123
tracked_Traj_Early006.nd2_crop,0.03198232995488644,0.0037118294842826104
tracked_Traj_Early007.nd2_crop,0.03946242395884758,0.004337895500004446
tracked_Traj_Early008.nd2_crop,0.02795585599417267,0.004384188585584178
tracked_Traj_Early009.nd2_crop,0.03050483510765911,0.003989334173345305
