FileName,TrackLength,Frequency
tracked_Traj_Set2_t1_post004.nd2_crop,52.5,6
tracked_Traj_Set2_t1_post004.nd2_crop,57.5,2
tracked_Traj_Set2_t1_post004.nd2_crop,62.5,5
tracked_Traj_Set2_t1_post004.nd2_crop,67.5,2
tracked_Traj_Set2_t1_post004.nd2_crop,72.5,2
tracked_Traj_Set2_t1_post004.nd2_crop,77.5,3
tracked_Traj_Set2_t1_post004.nd2_crop,82.5,2
tracked_Traj_Set2_t1_post004.nd2_crop,87.5,0
tracked_Traj_Set2_t1_post004.nd2_crop,92.5,1
tracked_Traj_Set2_t1_post004.nd2_crop,97.5,5
tracked_Traj_Set2_t1_post005.nd2_crop,2.5,0
tracked_Traj_Set2_t1_post005.nd2_crop,7.5,0
tracked_Traj_Set2_t1_post005.nd2_crop,12.5,449
tracked_Traj_Set2_t1_post005.nd2_crop,17.5,145
tracked_Traj_Set2_t1_post005.nd2_crop,22.5,86
tracked_Traj_Set2_t1_post005.nd2_crop,27.5,37
tracked_Traj_Set2_t1_post005.nd2_crop,32.5,27
tracked_Traj_Set2_t1_post005.nd2_crop,37.5,21
tracked_Traj_Set2_t1_post005.nd2_crop,42.5,11
tracked_Traj_Set2_t1_post005.nd2_crop,47.5,8
tracked_Traj_Set2_t1_post005.nd2_crop,52.5,7
tracked_Traj_Set2_t1_post005.nd2_crop,57.5,9
tracked_Traj_Set2_t1_post005.nd2_crop,62.5,7
tracked_Traj_Set2_t1_post005.nd2_crop,67.5,5
tracked_Traj_Set2_t1_post005.nd2_crop,72.5,6
tracked_Traj_Set2_t1_post005.nd2_crop,77.5,3
tracked_Traj_Set2_t1_post005.nd2_crop,82.5,1
tracked_Traj_Set2_t1_post005.nd2_crop,87.5,0
tracked_Traj_Set2_t1_post005.nd2_crop,92.5,3
tracked_Traj_Set2_t1_post005.nd2_crop,97.5,4
tracked_Traj_Set2_t1_post006.nd2_crop,2.5,0
tracked_Traj_Set2_t1_post006.nd2_crop,7.5,0
tracked_Traj_Set2_t1_post006.nd2_crop,12.5,369
tracked_Traj_Set2_t1_post006.nd2_crop,17.5,132
tracked_Traj_Set2_t1_post006.nd2_crop,22.5,52
tracked_Traj_Set2_t1_post006.nd2_crop,27.5,27
tracked_Traj_Set2_t1_post006.nd2_crop,32.5,20
tracked_Traj_Set2_t1_post006.nd2_crop,37.5,16
tracked_Traj_Set2_t1_post006.nd2_crop,42.5,9
tracked_Traj_Set2_t1_post006.nd2_crop,47.5,9
tracked_Traj_Set2_t1_post006.nd2_crop,52.5,5
tracked_Traj_Set2_t1_post006.nd2_crop,57.5,2
tracked_Traj_Set2_t1_post006.nd2_crop,62.5,4
tracked_Traj_Set2_t1_post006.nd2_crop,67.5,2
tracked_Traj_Set2_t1_post006.nd2_crop,72.5,0
tracked_Traj_Set2_t1_post006.nd2_crop,77.5,0
tracked_Traj_Set2_t1_post006.nd2_crop,82.5,2
tracked_Traj_Set2_t1_post006.nd2_crop,87.5,1
tracked_Traj_Set2_t1_post006.nd2_crop,92.5,0
tracked_Traj_Set2_t1_post006.nd2_crop,97.5,0
