embryo,overall_cv,MeanD_part5,CV_part5,N_part5,MeanD_part10,CV_part10,N_part10,MeanD_part15,CV_part15,N_part15,MeanD_part20,CV_part20,N_part20
Anterior_Set4007,0.24982445243682339,0.022208512205682034,1.6635444067857212,570.0,0.020685989959499173,1.156254492303962,264.0,0.013755149633071406,1.1980880630986208,90.0,0.012211581710434887,0.8865898269957517,44.0
Anterior_Set4007,0.24982445243682339,0.022208512205682034,1.6635444067857212,570.0,0.020685989959499173,1.156254492303962,264.0,0.013755149633071406,1.1980880630986208,90.0,0.012211581710434887,0.8865898269957517,44.0
Anterior_Set4016,0.26307559486359644,0.023785389031978386,1.7865960731944812,880.0,0.022967725004128872,1.192506978535308,403.0,0.015657806390886143,1.0840919261263307,138.0,0.012151876689016386,1.0338596403680143,67.0
Anterior_Set4016,0.26307559486359644,0.023785389031978386,1.7865960731944812,880.0,0.022967725004128872,1.192506978535308,403.0,0.015657806390886143,1.0840919261263307,138.0,0.012151876689016386,1.0338596403680143,67.0
Middle_Set4008,0.2004035840240278,0.014227153863916672,2.032216086787465,703.0,0.012639394874999401,1.3909024500911218,320.0,0.009198122659018235,1.1376459629811686,124.0,0.008940747212148227,1.1836663885222887,67.0
Middle_Set4008,0.2004035840240278,0.014227153863916672,2.032216086787465,703.0,0.012639394874999401,1.3909024500911218,320.0,0.009198122659018235,1.1376459629811686,124.0,0.008940747212148227,1.1836663885222887,67.0
Middle_Set4017,0.2584494256347858,0.014917892366568637,1.9599178909831423,856.0,0.01388763008029593,1.3354623958980223,395.0,0.010500847826427219,1.4156072336978276,164.0,0.0072665796524107075,1.3095802022290512,91.0
Middle_Set4017,0.2584494256347858,0.014917892366568637,1.9599178909831423,856.0,0.01388763008029593,1.3354623958980223,395.0,0.010500847826427219,1.4156072336978276,164.0,0.0072665796524107075,1.3095802022290512,91.0
Posteior_Set4009,0.3719316144316897,0.018534856296898033,1.9880339001907754,573.0,0.01732781991276013,1.2598527344835562,267.0,0.009324265723809424,1.2337362950570363,89.0,0.007302203044242775,1.2199660922032083,51.0
Posteior_Set4009,0.3719316144316897,0.018534856296898033,1.9880339001907754,573.0,0.01732781991276013,1.2598527344835562,267.0,0.009324265723809424,1.2337362950570363,89.0,0.007302203044242775,1.2199660922032083,51.0
Posteior_Set4018,0.2820478974594939,0.022439745060792392,1.6463671152136636,538.0,0.020716725076769863,1.0435070414936551,245.0,0.01608561186092797,0.9637385422411994,79.0,0.009857210810250474,1.0075058277029445,36.0
Posteior_Set4018,0.2820478974594939,0.022439745060792392,1.6463671152136636,538.0,0.020716725076769863,1.0435070414936551,245.0,0.01608561186092797,0.9637385422411994,79.0,0.009857210810250474,1.0075058277029445,36.0
