FileName,N_total_tracks,N_short_excl,N_long_excl,frac_over20fr,N_analysed,MeanTrackLength,MedianD,MeanD,StdD,SEMD,MinD,MaxD,QualityFlag,MeanParticlesPerFrame
Traj_Em.nd2_crop,34779,34043,168,0.0048,568,3.25489519537652,0.06213767388647369,0.09063241130983755,0.08772156520057255,0.0036839594625087744,-0.05408947840791525,0.4393595590721864,PASS,
Traj_Em001.nd2_crop,16914,16493,62,0.0037,359,3.5164952110677543,0.11194899342219022,0.13214184698829848,0.1033146058439191,0.005460346588106548,-0.03283876276784523,0.6162726795172297,PASS,
Traj_Em002.nd2_crop,32592,31178,422,0.0129,992,3.779178939617084,0.02835897090572935,0.05742576531579837,0.06954935488216746,0.0022093080690161904,-0.06435636374793391,0.4101744984534409,PASS,
Traj_Em003.nd2_crop,23873,23256,124,0.0052,493,3.5668747120177606,0.09191311138744451,0.1116021039212104,0.09656870562375777,0.004353653476004023,-0.02330210915205185,0.5708600319938434,PASS,
Traj_Em004.nd2_crop,13710,12827,225,0.0164,658,4.547337709700948,0.0969975645152037,0.12399818799621713,0.10508387461075189,0.00409971241208558,-0.0689277516735629,0.558007385052362,PASS,
Traj_Em1.nd2_crop,20867,20081,154,0.0074,632,3.6957876072267215,0.07305608919407285,0.09515072847964505,0.08489326529453559,0.003379547530262026,-0.024554061191710472,0.6329554682621655,PASS,
Traj_Em2.nd2_crop,32345,31485,184,0.0057,676,3.4098005874169113,0.04779703975675943,0.07608478533348745,0.07878459927407189,0.00303242063992548,-0.05001433890820459,0.47087328124945094,PASS,
Traj_Em4.nd2_crop,18774,18264,75,0.004,435,3.484872696282092,0.11245700942735953,0.1304631748542689,0.10655001480834571,0.005114564379479478,-0.01667279029721406,0.5068508686399626,PASS,
Traj_Em5.nd2_crop,22239,21471,143,0.0064,625,3.7501236566392375,0.08469088738530327,0.10428866563093123,0.09407256533504013,0.003765916552702103,-0.07523251926812964,0.7557258008967721,PASS,
Traj_Em6.nd2_crop,30350,29577,150,0.0049,623,3.4222734761120264,0.06370379011092452,0.08666879526621517,0.08542022617417132,0.0034250390284927684,-0.02106677027110071,0.5035611875166311,PASS,
Traj_Em7.nd2_crop,24849,24243,103,0.0041,503,3.323232323232323,0.07121890859393112,0.09843190921828052,0.09151307077311088,0.00408442823765269,-0.034399671143179475,0.45351587835728874,PASS,
