track_id,length,D,offset,r_squared,embryo
5,13,0.0025616975735513674,0.0038150435124026895,0.4281115548371237,Traj_G_AMP_003.nd2_crop
18,30,0.0036547034216182998,0.0015352290600011787,0.9819013709883972,Traj_G_AMP_003.nd2_crop
20,12,-0.00022641800793716567,0.00375966401086536,0.0366490318873417,Traj_G_AMP_003.nd2_crop
23,31,0.014298228376165551,0.01151999557884894,0.8225380193776125,Traj_G_AMP_003.nd2_crop
30,84,0.003222498393277013,0.003272249978316893,0.9539866857323029,Traj_G_AMP_003.nd2_crop
31,103,0.0018078327273333553,0.002802738765928462,0.9637105407889457,Traj_G_AMP_003.nd2_crop
40,17,0.00014295410138561801,0.005320595354920669,0.0027356471134660776,Traj_G_AMP_003.nd2_crop
42,15,0.0017224773179832437,0.0017819554146083236,0.43841884902278994,Traj_G_AMP_003.nd2_crop
45,11,0.008139213508770832,0.004648226303405331,1.0,Traj_G_AMP_003.nd2_crop
53,37,0.02067034251593926,-0.003952862700059271,0.9982869140086256,Traj_G_AMP_003.nd2_crop
64,14,0.020754634406340115,0.01212794991283538,0.9457123283634933,Traj_G_AMP_003.nd2_crop
81,111,0.001528635745517076,0.0003041068576295835,0.9933489981428247,Traj_G_AMP_003.nd2_crop
111,11,0.06554739659248188,0.0013308789055763018,1.0,Traj_G_AMP_003.nd2_crop
121,11,0.006385672562112632,0.004989449736986145,1.0,Traj_G_AMP_003.nd2_crop
123,37,0.019562298432806238,0.001247451009864538,0.9977119442566689,Traj_G_AMP_003.nd2_crop
127,111,0.0014775081902455556,0.0013150060652130844,0.9824954907209651,Traj_G_AMP_003.nd2_crop
129,16,0.02463896035128922,0.0064751513495424524,0.919392094058142,Traj_G_AMP_003.nd2_crop
151,24,0.02158376634010135,0.005321592168612944,0.9749126113033042,Traj_G_AMP_003.nd2_crop
193,111,0.0007720076998240174,0.0008874470818001792,0.9853505264437866,Traj_G_AMP_003.nd2_crop
197,111,0.0011199830136160035,0.0007294217776973341,0.9581103152468747,Traj_G_AMP_003.nd2_crop
203,12,0.03710701934087032,0.009733787040215896,0.9030651375591644,Traj_G_AMP_003.nd2_crop
207,15,0.03429967300741165,0.0030100744210784227,0.9971333764454182,Traj_G_AMP_003.nd2_crop
214,11,0.08649168538688148,-0.005195761825871185,1.0,Traj_G_AMP_003.nd2_crop
217,11,0.0010840591582134277,0.006783674861600759,1.0,Traj_G_AMP_003.nd2_crop
222,20,0.0015358326515576273,0.0023187012495830433,0.9229122093166757,Traj_G_AMP_003.nd2_crop
252,111,0.0014421037306175297,5.492563099931604e-05,0.9930389689523764,Traj_G_AMP_003.nd2_crop
255,58,0.0017608794998686672,0.0008289308187896299,0.9902238457031115,Traj_G_AMP_003.nd2_crop
266,17,0.008907229036395002,0.022670275238660397,0.5011818042298609,Traj_G_AMP_003.nd2_crop
271,16,0.016094853999163047,0.003945969689492314,0.990247512342988,Traj_G_AMP_003.nd2_crop
321,15,0.001695537692907576,0.0009390111472351257,0.9064466395381919,Traj_G_AMP_003.nd2_crop
341,27,0.011412318323752538,0.0024248166809620435,0.9976920694199455,Traj_G_AMP_003.nd2_crop
366,15,0.09275113177772017,-0.011107320885384282,0.998251150560563,Traj_G_AMP_003.nd2_crop
399,15,0.10303571626055157,-0.015705625384116486,0.9993323729382985,Traj_G_AMP_003.nd2_crop
425,31,0.004263187928067544,0.010097400043593587,0.7582670636426039,Traj_G_AMP_003.nd2_crop
588,32,0.002413479116030919,0.0034510641871818002,0.9350653163937999,Traj_G_AMP_003.nd2_crop
664,36,0.01522079149319483,0.003032896985950737,0.9958038866601769,Traj_G_AMP_003.nd2_crop
713,78,0.0032857712783150583,0.0008375977962849906,0.9931574832410712,Traj_G_AMP_003.nd2_crop
819,12,0.03498204472369349,0.007103717828473397,0.9070668748999298,Traj_G_AMP_003.nd2_crop
834,19,0.045462711898091514,-0.0056229735313475,0.986549672861508,Traj_G_AMP_003.nd2_crop
894,10,0.08005695266640911,-0.013559300647674088,1.0,Traj_G_AMP_003.nd2_crop
903,15,0.0020146881534863566,0.001285131012613798,0.8576859583952783,Traj_G_AMP_003.nd2_crop
905,12,0.002016584834687241,0.002058852896579223,0.6586091811548648,Traj_G_AMP_003.nd2_crop
1044,12,0.04854439287705116,-0.0035015438555220835,0.9894342564873353,Traj_G_AMP_003.nd2_crop
1096,13,-0.005056490194031753,0.027530936435890645,0.36545843961269775,Traj_G_AMP_003.nd2_crop
1116,14,0.051503718035324,0.0007566194554597758,0.9737822578213277,Traj_G_AMP_003.nd2_crop
1157,17,0.0012007719081196938,0.0001111225649514177,0.9972147895710898,Traj_G_AMP_003.nd2_crop
1211,17,0.025954304013013994,0.002905978371591512,0.9831362828722177,Traj_G_AMP_003.nd2_crop
1223,12,0.016128814573543895,0.015455405235985525,0.5426709712387289,Traj_G_AMP_003.nd2_crop
1251,75,0.001632048997845517,0.0014626864626433667,0.9876074709315509,Traj_G_AMP_003.nd2_crop
1330,10,0.07400543152833865,-0.007331430217112426,1.0,Traj_G_AMP_003.nd2_crop
1344,14,0.05902061918854236,0.013007812583322363,0.9173969623527475,Traj_G_AMP_003.nd2_crop
1353,10,0.03932204916737067,0.0010682792666311908,1.0,Traj_G_AMP_003.nd2_crop
1400,23,0.02517216892965831,0.006169971531761707,0.9669457444596472,Traj_G_AMP_003.nd2_crop
1443,14,0.03469523499607465,0.003315450280824967,0.9711879557931438,Traj_G_AMP_003.nd2_crop
1576,15,0.04423680769618581,-0.005026131209948506,0.9937860007140819,Traj_G_AMP_003.nd2_crop
1728,10,0.11859532621508406,-0.014669640083374173,1.0,Traj_G_AMP_003.nd2_crop
1730,14,0.0007356229965840705,0.015463700193091881,0.00732485643727776,Traj_G_AMP_003.nd2_crop
1731,10,0.05583057276472296,-0.001108023606989984,1.0,Traj_G_AMP_003.nd2_crop
1818,11,0.087066981318499,-0.008850518292967425,1.0,Traj_G_AMP_003.nd2_crop
1827,10,0.023774928117287732,0.003648656526785679,1.0,Traj_G_AMP_003.nd2_crop
1846,30,0.008350420345204326,0.010936549721600361,0.7584017974281423,Traj_G_AMP_003.nd2_crop
1914,23,0.001674108655870994,0.012445140650567997,0.12760564254419338,Traj_G_AMP_003.nd2_crop
1945,29,0.04485350995800602,0.007203053109093856,0.9861367539537341,Traj_G_AMP_003.nd2_crop
2005,21,0.07192136958302757,-0.018716296587851056,0.9966521537694003,Traj_G_AMP_003.nd2_crop
2072,95,0.001346587894924626,0.0006149519352906364,0.9928520537891108,Traj_G_AMP_003.nd2_crop
2157,12,0.02047880106233359,0.0024403954007578017,0.9997399211345532,Traj_G_AMP_003.nd2_crop
2181,12,0.020517940690709176,0.023920633234273233,0.9019512886905161,Traj_G_AMP_003.nd2_crop
2306,27,0.02411066703528668,0.017002246711234393,0.9090506957828265,Traj_G_AMP_003.nd2_crop
2350,11,0.10999592789524676,-0.011817068648053932,1.0,Traj_G_AMP_003.nd2_crop
2366,12,0.0037299765249612054,-9.38912255460249e-05,0.9952960784667108,Traj_G_AMP_003.nd2_crop
2425,16,0.004817440862801344,0.0034165151121050507,0.7476417525224117,Traj_G_AMP_003.nd2_crop
2440,14,0.013249666260634079,0.015440595726834117,0.397588003269405,Traj_G_AMP_003.nd2_crop
2470,16,0.04801654478560271,0.006452918266578946,0.9914398272505627,Traj_G_AMP_003.nd2_crop
2489,15,0.002981830402031656,0.0003415214879786416,0.9643506959880598,Traj_G_AMP_003.nd2_crop
2574,10,0.09345091453543138,-0.012217823721327853,1.0,Traj_G_AMP_003.nd2_crop
2589,38,0.013027029008157923,0.016165924398726328,0.8439221129818668,Traj_G_AMP_003.nd2_crop
2615,10,0.043537753805044974,0.013238725095364855,1.0,Traj_G_AMP_003.nd2_crop
2693,32,0.009230033714079319,0.0038823102116054887,0.9940187908364219,Traj_G_AMP_003.nd2_crop
2805,11,0.017890726407352293,-0.0013029134310514007,1.0,Traj_G_AMP_003.nd2_crop
2808,32,0.005530599976335939,0.010644912989028251,0.6213112472608662,Traj_G_AMP_003.nd2_crop
