Trajectory,cell_label,n_frames,D,r_squared,filtered,D_err
1,4,2,,,short,
2,10,2,,,short,
3,2,34,0.037256746693501736,0.9462650125611913,ok,0.0029594149441999596
4,4,2,,,short,
5,14,3,,,short,
6,23,2,,,short,
7,16,12,0.020330075784208874,0.9262348903017343,ok,0.0025657770363465998
8,14,6,,,short,
9,11,10,0.04018275848037922,0.9858351181115816,ok,0.0024083194782331925
10,18,4,,,short,
11,23,3,,,short,
12,18,2,,,short,
13,23,2,,,short,
14,29,21,0.042225170939934664,0.920802007364368,ok,0.0041278520246744695
15,13,5,,,short,
16,23,2,,,short,
17,25,3,,,short,
18,18,6,,,short,
19,21,19,0.0034687729706888723,0.24360006180838456,ok,0.0020374720806960404
20,29,3,,,short,
21,25,2,,,short,
22,25,2,,,short,
23,27,2,,,short,
24,18,3,,,short,
25,29,14,0.0021381324602760977,0.11259553189882632,ok,0.002450525342317272
26,20,3,,,short,
27,23,2,,,short,
28,30,12,0.05235853717725265,0.947435572441081,ok,0.005515337259264581
29,22,6,,,short,
30,34,3,,,short,
31,30,2,,,short,
32,30,2,,,short,
33,30,24,0.0663109597722669,0.9561919694536261,ok,0.004731168284548171
34,39,3,,,short,
35,38,2,,,short,
36,42,2,,,short,
37,39,2,,,short,
38,42,12,0.061983777354543135,0.9596681011401383,ok,0.005682727554807518
39,38,6,,,short,
40,43,36,0.014483050209694232,0.9471464791167153,ok,0.0011404261939275179
41,43,2,,,short,
42,45,13,0.07212618600761504,0.9594082768272122,ok,0.006056676781661285
43,45,2,,,short,
44,45,3,,,short,
45,43,2,,,short,
46,42,2,,,short,
47,43,2,,,short,
48,43,4,,,short,
49,43,3,,,short,
50,45,2,,,short,
51,45,2,,,short,
52,47,2,,,short,
53,45,2,,,short,
54,45,2,,,short,
55,45,2,,,short,
56,45,2,,,short,
57,47,3,,,short,
58,47,3,,,short,
59,52,2,,,short,
60,53,6,,,short,
61,53,2,,,short,
62,52,3,,,short,
63,45,4,,,short,
64,52,3,,,short,
65,52,2,,,short,
66,45,4,,,short,
67,47,6,,,short,
68,53,3,,,short,
69,52,3,,,short,
70,58,9,,,short,
71,57,13,0.012290206207164292,0.9603926953860733,ok,0.0010189356862810386
72,53,2,,,short,
73,53,3,,,short,
