TimeLag_s,MeanCosAngle,SEM
0.1,0.43976183403382985,0.003780558826945271
0.2,0.4342377609957107,0.0038100659625610093
0.30000000000000004,0.43127951591500907,0.0037840238869618005
0.4,0.42771074739643966,0.0038337805955309784
0.5,0.41745765552941255,0.0038591152305113893
0.6000000000000001,0.4058084040442293,0.00388172731193477
0.7000000000000001,0.3959304744150236,0.003920429367690388
0.8,0.3849300258244167,0.00392569254074454
0.9,0.37283298640805806,0.003957632665451955
1.0,0.3572791441298837,0.003976032136785675
1.1,0.3402789201126058,0.004014766791587297
1.2000000000000002,0.3178625621058604,0.004054890414354902
1.3,0.2997889931960123,0.004094277538930081
1.4000000000000001,0.28042589175348137,0.004123710594454715
1.5,0.25413576255348524,0.004168289138045772
1.6,0.23234515429908223,0.0041860726647789
1.7000000000000002,0.21180200268319743,0.004229657064476941
1.8,0.1838166653026943,0.004271653000543146
1.9000000000000001,0.15690921401181965,0.004291743685624545
2.0,0.13107306015983508,0.004298840092812115
2.1,0.1022428787516157,0.004311928800566176
2.2,0.0822149481589981,0.00433643331205157
2.3000000000000003,0.05316677812611793,0.004353867727804374
2.4000000000000004,0.030103178856294523,0.004370955752704681
2.5,-0.00014655754210107943,0.004346390138237909
2.6,-0.02723167742570634,0.004351590871052089
2.7,-0.05914285771378188,0.0043693669958543
2.8000000000000003,-0.0840962507505609,0.004383990226818351
2.9000000000000004,-0.10891739544196606,0.004334541748669947
3.0,-0.13370327893901235,0.004340480545772332
3.1,-0.16221215963370225,0.004333047765928075
3.2,-0.19037997112783656,0.0043212691615923
3.3000000000000003,-0.21203028441849034,0.004272346027300103
3.4000000000000004,-0.23857583170283742,0.004260430655880437
3.5,-0.25713120002171247,0.004241839958933639
3.6,-0.27634012377335004,0.004220546975052407
3.7,-0.2971620963668004,0.004206062719380159
3.8000000000000003,-0.31946162065813294,0.004159357435683969
3.9000000000000004,-0.3365337753487037,0.0041498193819401044
4.0,-0.35716286035277406,0.004117492027138571
4.1000000000000005,-0.37034044556616375,0.004083585515235934
4.2,-0.3858640376886148,0.004080998184558237
4.3,-0.39787097647921943,0.004039202970296628
4.4,-0.4090945188102104,0.004032291704629569
4.5,-0.42007520317460134,0.0040052559443013065
4.6000000000000005,-0.42609900666970923,0.0040032682423290205
4.7,-0.4338133727934874,0.0039842929388271345
4.800000000000001,-0.4343372109355056,0.00399476721216722
4.9,-0.4354156747174737,0.003992975165231484
5.0,-0.4383701111234098,0.004006335922392673
