TimeLag_s,MeanCosAngle,SEM
0.1,-0.010692950488557371,0.00447383142447559
0.2,-0.000576531965763034,0.0044943361125834285
0.30000000000000004,-0.006666252921760179,0.0045025953032450244
0.4,-0.0016761026317231094,0.004497533787034104
0.5,-0.005231813435530654,0.004493858577055048
0.6000000000000001,-0.007906189215073035,0.004499882718749824
0.7000000000000001,-0.006759238685291953,0.004504598056237416
0.8,-0.00036355617484116386,0.004515302575096074
0.9,0.0024881752735583284,0.004502887588092238
1.0,-0.0035326061538964683,0.004519713967175172
1.1,-0.009905390781725431,0.00453273001914921
1.2000000000000002,0.009438274235648898,0.004528145705844196
1.3,-0.001559479333945965,0.0045303270273132
1.4000000000000001,-0.007600003782256753,0.004526648265821732
1.5,-0.009062127702008826,0.004550440234095856
1.6,-0.001545287629684112,0.0045646468365780676
1.7000000000000002,-0.010268725044119638,0.0045501577010677845
1.8,0.003314240244145402,0.004568016910757136
1.9000000000000001,-0.0006799906714376782,0.004571553968261229
2.0,-0.0019194561007963558,0.004567724466653476
2.1,-0.003671223378728575,0.004584633906693148
2.2,-0.007020284343110828,0.004587225295869347
2.3000000000000003,-0.0011413069700925943,0.004603196345575102
2.4000000000000004,-0.0062749997439118235,0.00460164363921541
2.5,0.0014516959223146218,0.004587193224856112
2.6,-0.002729918383169733,0.004620741011342764
2.7,-0.006728721420674855,0.004610046686082412
2.8000000000000003,0.0037831243664786414,0.004614232511992558
2.9000000000000004,-0.00029374180141585694,0.004615451671781557
3.0,-0.003463355111145249,0.004602532357401417
3.1,0.0003602807890721272,0.004612484162951629
3.2,0.006830237996656156,0.004629996042735296
3.3000000000000003,-0.002105153917569289,0.004638362126200056
3.4000000000000004,-0.004028614061753807,0.004640001533886899
3.5,-0.004958519473877932,0.004656630891511253
3.6,-0.0009236084677918483,0.004646613828131944
3.7,-0.003082296861331225,0.004644361882870846
3.8000000000000003,-0.0058394772207261665,0.004655845218574532
3.9000000000000004,-0.0013893184950803026,0.004674044259240778
4.0,-0.0007942046542245432,0.004661493353161957
4.1000000000000005,-0.007672337744058757,0.004672644644959584
4.2,-0.0014496550724181565,0.004667170344544305
4.3,-0.007205608356921594,0.00469615517222154
4.4,-0.0016851629783818474,0.004692607297322178
4.5,-0.016497241277613577,0.004715855538907253
4.6000000000000005,-0.0070077364423748074,0.004691356923021206
4.7,0.0019626737039640336,0.004707174295150406
4.800000000000001,-0.0020621547930853882,0.004694630787386803
4.9,-0.0005847777350609325,0.00469050277428506
5.0,0.0021462021680997098,0.004725217702243397
