TimeLag_s,MeanCosAngle,SEM
0.1,0.9768238874363513,0.0006960286231167652
0.2,0.9544289810579297,0.0009843878721285668
0.30000000000000004,0.9323620693106142,0.0012097217931115467
0.4,0.911270018540697,0.0013919060986636853
0.5,0.8904538016956068,0.001551757062450948
0.6000000000000001,0.8698440281167978,0.0017048380576336706
0.7000000000000001,0.8495227500504848,0.0018463440530598109
0.8,0.8293800993057558,0.001982481604189247
0.9,0.8095954160302422,0.002109046092564218
1.0,0.7905753969233967,0.0022230214373290887
1.1,0.7719638256536063,0.0023333086532667047
1.2000000000000002,0.7536136316327231,0.0024387987559883716
1.3,0.7351350290558535,0.0025434863213481852
1.4000000000000001,0.7170991696401255,0.0026390348792468517
1.5,0.699119254416948,0.002731055201172979
1.6,0.681729419366991,0.00281619368998105
1.7000000000000002,0.6648945989874089,0.0028998596228484615
1.8,0.6487109157514518,0.0029776498772154047
1.9000000000000001,0.6328824545209023,0.0030512171481827553
2.0,0.6172973105571737,0.0031213228242394924
2.1,0.6021192938149045,0.003186761498906993
2.2,0.587704431784876,0.0032468146819914522
2.3000000000000003,0.5736105627213524,0.0033043852231999463
2.4000000000000004,0.5601536929752954,0.003358169419770122
2.5,0.546994804160659,0.0034097065479116472
2.6,0.5346721144727343,0.0034603115180180345
2.7,0.5226622730403248,0.0035109951182996993
2.8000000000000003,0.5105245809501144,0.003557681369884991
2.9000000000000004,0.49844333127106827,0.003604820461106199
3.0,0.4864157268412367,0.0036538173908258085
3.1,0.4744335100892219,0.0036999005212259048
3.2,0.46257914079468926,0.0037449389016569108
3.3000000000000003,0.4510664478325258,0.003787926626177743
3.4000000000000004,0.43987211921876823,0.0038289278008777285
3.5,0.42886908188401174,0.0038692034777556665
3.6,0.4179345190242045,0.003909141556169473
3.7,0.40744500077284596,0.003947889438004446
3.8000000000000003,0.39699448469524756,0.0039862265421736825
3.9000000000000004,0.386653621815756,0.004022567089112623
4.0,0.37659987009550633,0.004059458791702148
4.1000000000000005,0.3665470812036614,0.004094377332652228
4.2,0.35679526795875793,0.004127627933495688
4.3,0.34731655200691924,0.004159039466828722
4.4,0.3380864365107261,0.004190741655821102
4.5,0.3292293077714238,0.004221619584226896
4.6000000000000005,0.3208524356308709,0.004250002160229653
4.7,0.31260157367912633,0.004279346458027004
4.800000000000001,0.3046830202780518,0.0043053022780769785
4.9,0.2961996290306459,0.00432997526946528
5.0,0.28768031664742005,0.004354811070083645
