FileName,DiffusionCoefficient,CumulativeProbability
tracked_Traj_Set7.nd2_crop,-0.015132408448521352,0.0026595744680851063
tracked_Traj_Set7.nd2_crop,-0.014351394756520723,0.005319148936170213
tracked_Traj_Set7.nd2_crop,-0.009482537470184245,0.007978723404255319
tracked_Traj_Set7.nd2_crop,-0.004131561705029643,0.010638297872340425
tracked_Traj_Set7.nd2_crop,-0.0018345392011941651,0.013297872340425532
tracked_Traj_Set7.nd2_crop,-0.0016297072140411407,0.015957446808510637
tracked_Traj_Set7.nd2_crop,-0.0015358622053634533,0.018617021276595744
tracked_Traj_Set7.nd2_crop,0.0002741445952911171,0.02127659574468085
tracked_Traj_Set7.nd2_crop,0.00038980976145960584,0.023936170212765957
tracked_Traj_Set7.nd2_crop,0.0004725685931552214,0.026595744680851064
tracked_Traj_Set7.nd2_crop,0.0005306334058449718,0.02925531914893617
tracked_Traj_Set7.nd2_crop,0.0005701390635509937,0.031914893617021274
tracked_Traj_Set7.nd2_crop,0.0005964750745484479,0.034574468085106384
tracked_Traj_Set7.nd2_crop,0.0006389142452934701,0.03723404255319149
tracked_Traj_Set7.nd2_crop,0.0007441755436594581,0.0398936170212766
tracked_Traj_Set7.nd2_crop,0.0009016939005482017,0.0425531914893617
tracked_Traj_Set7.nd2_crop,0.0009503660724342455,0.04521276595744681
tracked_Traj_Set7.nd2_crop,0.001089554584628467,0.047872340425531915
tracked_Traj_Set7.nd2_crop,0.0014995557506501456,0.05053191489361702
tracked_Traj_Set7.nd2_crop,0.0015263588504017074,0.05319148936170213
tracked_Traj_Set7.nd2_crop,0.0016533770174933734,0.05585106382978723
tracked_Traj_Set7.nd2_crop,0.00188727689062357,0.05851063829787234
tracked_Traj_Set7.nd2_crop,0.0018886715986690017,0.061170212765957445
tracked_Traj_Set7.nd2_crop,0.0019360917455401782,0.06382978723404255
tracked_Traj_Set7.nd2_crop,0.002033556194819234,0.06648936170212766
tracked_Traj_Set7.nd2_crop,0.0021936990293731666,0.06914893617021277
tracked_Traj_Set7.nd2_crop,0.002390268436845421,0.07180851063829788
tracked_Traj_Set7.nd2_crop,0.002517359849727593,0.07446808510638298
tracked_Traj_Set7.nd2_crop,0.002725660743661841,0.07712765957446809
tracked_Traj_Set7.nd2_crop,0.0028786217553982904,0.0797872340425532
tracked_Traj_Set7.nd2_crop,0.002940653118438933,0.08244680851063829
tracked_Traj_Set7.nd2_crop,0.0031581543381427528,0.0851063829787234
tracked_Traj_Set7.nd2_crop,0.004147431049971303,0.08776595744680851
tracked_Traj_Set7.nd2_crop,0.004285918804647612,0.09042553191489362
tracked_Traj_Set7.nd2_crop,0.004296684012683926,0.09308510638297872
tracked_Traj_Set7.nd2_crop,0.004615103337436356,0.09574468085106383
tracked_Traj_Set7.nd2_crop,0.004919481111422524,0.09840425531914894
tracked_Traj_Set7.nd2_crop,0.005217066018999874,0.10106382978723404
tracked_Traj_Set7.nd2_crop,0.005264230389433537,0.10372340425531915
tracked_Traj_Set7.nd2_crop,0.005276534457083787,0.10638297872340426
tracked_Traj_Set7.nd2_crop,0.005358245560278063,0.10904255319148937
tracked_Traj_Set7.nd2_crop,0.005478442898083602,0.11170212765957446
tracked_Traj_Set7.nd2_crop,0.005483878854299517,0.11436170212765957
