 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
13736,3023,27,110.318,316.584,0,0.657,1.338,2.219,4.023,7.814,0.090
13737,3023,28,110.465,316.554,0,0.653,1.402,2.462,4.781,10.058,0.087
13738,3024,27,792.771,317.448,0,0.620,1.388,2.458,4.876,10.597,0.083
13739,3024,28,791.735,317.972,0,0.788,1.556,2.995,6.354,14.507,0.039
13740,3025,27,408.227,320.678,0,0.822,1.467,2.696,5.525,12.328,0.101
13741,3025,28,409.333,322.747,0,0.718,1.465,2.683,5.458,12.046,0.083
13742,3026,27,186.503,328.434,0,0.748,1.381,2.381,4.537,9.380,0.116
13743,3026,28,190.792,327.865,0,1.349,1.518,2.827,5.782,12.689,0.022
13744,3027,27,921.254,368.558,0,1.220,1.475,2.669,5.300,11.304,0.031
13745,3027,28,922.812,372.186,0,0.815,1.377,2.392,4.622,9.735,0.126
13746,3028,27,522.701,400.009,0,0.712,1.413,2.488,4.824,10.068,0.125
13747,3028,28,524.317,398.833,0,0.833,1.434,2.572,5.115,11.020,0.116
13748,3028,29,524.376,399.468,0,0.934,1.538,2.934,6.191,14.093,0.066
13749,3029,27,670.581,413.266,0,0.923,1.647,3.290,7.188,16.760,0.017
13750,3029,28,669.794,416.082,0,0.921,1.476,2.702,5.466,11.944,0.094
13751,3029,29,672.406,416.130,0,0.866,1.508,2.824,5.848,13.062,0.099
13752,3029,30,669.814,416.127,0,0.943,1.395,2.451,4.767,10.045,0.090
13753,3029,31,672.159,416.809,0,0.788,1.544,2.968,6.333,14.625,0.049
13754,3029,32,671.826,419.429,0,1.075,1.386,2.399,4.566,9.365,0.054
13755,3029,33,673.556,418.575,0,1.224,1.296,2.116,3.791,7.317,0.024
13756,3030,27,363.164,456.188,0,0.969,1.557,2.990,6.336,14.451,0.049
13757,3030,28,361.461,455.134,0,1.030,1.490,2.742,5.568,12.198,0.072
13758,3031,27,656.382,465.193,0,0.785,1.470,2.695,5.490,12.144,0.106
13759,3031,28,656.909,470.101,0,0.729,1.509,2.865,6.065,13.936,0.049
13760,3031,29,655.929,470.415,0,1.055,1.319,2.219,4.170,8.603,0.041
13761,3031,30,654.741,469.442,0,0.633,1.357,2.381,4.720,10.348,0.093
13762,3032,27,574.663,472.360,0,0.994,1.436,2.569,5.080,10.876,0.071
13763,3032,28,574.527,473.120,0,0.788,1.376,2.412,4.720,10.086,0.126
13764,3032,29,574.872,473.277,0,0.874,1.451,2.653,5.413,12.020,0.113
13765,3032,30,574.133,474.157,0,1.035,1.398,2.455,4.788,10.157,0.072
13766,3032,31,574.539,473.892,0,1.032,1.330,2.215,4.048,7.961,0.052
13767,3032,32,573.820,473.841,0,1.208,1.348,2.297,4.346,8.956,0.036
13768,3032,33,574.061,474.290,0,1.155,1.337,2.249,4.177,8.402,0.035
13769,3032,34,574.490,474.686,0,1.514,1.329,2.201,3.993,7.775,0.015
13770,3032,35,575.387,475.587,0,1.301,1.334,2.211,4.017,7.852,0.022
13771,3032,36,575.493,476.391,0,0.970,1.237,1.931,3.295,6.049,0.014
13772,3032,37,574.804,476.801,0,0.954,1.344,2.275,4.266,8.693,0.064
13773,3032,38,575.007,477.279,0,0.986,1.309,2.155,3.908,7.653,0.046
13774,3032,39,574.801,477.914,0,0.970,1.291,2.097,3.745,7.219,0.036
13775,3032,40,574.945,477.629,0,1.262,1.357,2.298,4.273,8.556,0.022
13776,3032,41,574.985,478.050,0,1.134,1.426,2.569,5.155,11.251,0.047
13777,3032,42,575.255,477.861,0,0.920,1.315,2.191,4.044,8.119,0.064
13778,3032,43,575.312,477.828,0,1.170,1.363,2.326,4.380,8.926,0.063
13779,3032,44,575.348,477.751,0,1.106,1.301,2.129,3.841,7.500,0.037
13780,3032,45,575.796,477.410,0,1.184,1.385,2.426,4.735,10.085,0.047
13781,3032,46,576.307,476.652,0,1.510,1.336,2.238,4.122,8.190,0.014
13782,3032,47,575.896,476.921,0,1.093,1.531,2.940,6.292,14.611,0.040
13783,3032,48,575.497,476.623,0,1.550,1.449,2.638,5.360,11.866,0.008
13784,3032,49,575.618,476.790,0,1.800,1.338,2.239,4.120,8.174,0.009
13785,3032,50,575.843,477.036,0,1.594,1.403,2.483,4.889,10.484,0.015
13786,3032,51,575.320,477.263,0,1.226,1.222,1.888,3.191,5.811,0.004
13787,3032,52,574.816,477.527,0,1.226,1.256,1.984,3.428,6.361,0.013
13788,3032,53,574.630,477.661,0,1.295,1.325,2.193,3.977,7.756,0.030
13789,3032,54,574.444,478.884,0,0.982,1.286,2.084,3.695,7.040,0.047
13790,3032,55,573.928,479.438,0,0.650,1.287,2.112,3.834,7.547,0.047
13791,3033,27,336.821,487.523,0,1.218,1.593,3.103,6.639,15.227,0.011
13792,3033,28,336.821,487.325,0,1.376,1.447,2.583,5.061,10.651,0.023
13793,3033,29,336.280,487.281,0,0.973,1.510,2.851,5.981,13.571,0.068
13794,3033,30,336.328,486.751,0,1.096,1.416,2.505,4.892,10.316,0.059
13795,3033,31,336.337,486.411,0,1.019,1.412,2.492,4.866,10.295,0.078
13796,3033,32,336.516,486.180,0,1.018,1.403,2.460,4.775,10.054,0.076
13797,3034,27,475.001,487.213,0,0.870,1.343,2.331,4.568,9.873,0.094
13798,3034,28,477.318,489.201,0,1.268,1.437,2.546,4.963,10.418,0.030
13799,3034,29,477.872,488.308,0,1.066,1.455,2.646,5.337,11.673,0.055
13800,3035,27,599.231,491.823,0,0.625,1.383,2.404,4.641,9.744,0.085
13801,3035,28,599.507,491.901,0,0.660,1.275,2.058,3.663,7.068,0.047
13802,3036,27,446.529,492.573,0,0.702,1.415,2.472,4.745,9.787,0.121
13803,3036,28,443.706,493.594,0,0.856,1.392,2.435,4.740,10.056,0.121
13804,3036,29,444.889,495.750,0,1.095,1.366,2.340,4.426,9.060,0.048
13805,3036,30,444.150,494.758,0,0.780,1.441,2.567,5.030,10.601,0.150
13806,3036,31,445.777,495.184,0,1.017,1.401,2.444,4.690,9.687,0.077
13807,3036,32,446.049,494.947,0,1.093,1.359,2.333,4.433,9.132,0.049
13808,3036,33,445.765,495.158,0,1.038,1.295,2.120,3.827,7.480,0.037
13809,3036,34,447.472,494.870,0,1.352,1.296,2.103,3.730,7.089,0.018
13810,3036,35,446.693,493.599,0,1.250,1.344,2.244,4.097,8.018,0.029
13811,3036,36,447.325,493.803,0,1.021,1.299,2.121,3.804,7.358,0.045
13812,3036,37,447.214,493.044,0,1.229,1.348,2.294,4.328,8.875,0.029
13813,3036,38,446.983,493.455,0,1.055,1.305,2.138,3.836,7.394,0.036
13814,3036,39,446.115,493.245,0,1.053,1.412,2.498,4.887,10.355,0.074
13815,3036,40,444.332,494.464,0,1.333,1.321,2.181,3.954,7.726,0.015
13816,3036,41,445.127,493.644,0,1.242,1.420,2.549,5.098,11.097,0.035
13817,3036,42,444.351,494.720,0,1.392,1.447,2.607,5.191,11.167,0.019
13818,3036,43,444.980,495.598,0,1.233,1.499,2.799,5.794,12.988,0.034
13819,3036,44,444.453,495.882,0,1.278,1.379,2.369,4.479,9.130,0.035
13820,3036,45,444.895,495.344,0,1.307,1.395,2.439,4.708,9.820,0.032
13821,3036,46,444.364,494.455,0,1.336,1.415,2.480,4.777,9.910,0.034
13822,3036,47,443.238,494.404,0,1.329,1.331,2.211,4.026,7.882,0.032
13823,3036,48,443.640,494.250,0,1.277,1.319,2.184,3.973,7.790,0.028
13824,3036,49,444.492,496.100,0,1.240,1.350,2.279,4.238,8.513,0.035
13825,3036,50,443.539,494.632,0,1.151,1.288,2.079,3.678,7.000,0.029
13826,3036,51,444.390,493.154,0,1.160,1.382,2.372,4.474,9.088,0.055
13827,3036,52,444.247,493.579,0,1.032,1.313,2.160,3.904,7.602,0.055
13828,3036,53,444.558,493.590,0,1.161,1.309,2.151,3.888,7.588,0.036
13829,3036,54,444.307,493.678,0,1.177,1.390,2.405,4.571,9.337,0.059
13830,3036,55,443.653,494.532,0,0.909,1.393,2.413,4.606,9.493,0.125
13831,3036,56,443.099,494.512,0,0.836,1.371,2.351,4.436,9.012,0.108
13832,3036,57,442.952,495.287,0,0.930,1.494,2.781,5.729,12.747,0.101
13833,3036,58,443.838,494.036,0,0.787,1.396,2.468,4.844,10.316,0.129
13834,3036,59,443.856,494.224,0,1.061,1.385,2.394,4.559,9.360,0.067
13835,3036,60,442.789,494.348,0,0.719,1.430,2.575,5.163,11.269,0.090
13836,3037,27,520.361,508.304,0,1.534,1.488,2.847,6.160,14.616,0.007
13837,3037,28,521.220,509.049,0,1.397,1.508,2.855,6.017,13.762,0.019
13838,3037,29,522.047,508.683,0,0.867,1.411,2.543,5.140,11.372,0.114
13839,3037,30,521.319,508.561,0,0.691,1.189,1.814,3.056,5.624,0.009
13840,3037,31,521.114,508.577,0,0.838,1.471,2.799,6.020,14.204,0.098
13841,3037,32,522.068,508.440,0,0.629,1.344,2.328,4.553,9.854,0.101
13842,3037,33,520.478,508.140,0,0.843,1.445,2.657,5.483,12.362,0.127
13843,3037,34,519.954,508.078,0,1.539,1.447,2.629,5.302,11.592,0.013
13844,3037,35,519.026,508.489,0,1.187,1.543,2.982,6.427,15.035,0.019
13845,3037,36,518.992,508.580,0,0.719,1.406,2.531,5.120,11.362,0.125
13846,3037,37,518.377,509.578,0,0.746,1.530,2.949,6.358,14.903,0.042
13847,3038,27,368.223,510.819,0,0.714,1.424,2.528,4.964,10.548,0.125
13848,3038,28,366.637,511.189,0,0.669,1.400,2.460,4.796,10.157,0.095
13849,3039,27,386.544,524.740,0,1.056,1.368,2.335,4.383,8.867,0.062
13850,3039,28,385.628,526.332,0,0.840,1.434,2.570,5.089,10.885,0.115
13851,3040,27,532.605,524.685,0,1.040,1.487,2.775,5.779,13.090,0.048
