cell_label,area_px,perimeter_px,circularity,centroid_x,centroid_y,n_trajectories,n_points,n_valid_traj,D_median,D_mean,D_std,D_iqr,D_p25,D_p75,cell_type,experiment,cell_uid
30,3326.0,245.02438661763952,0.6961670877244169,265.88184004810586,147.871617558629,27,225,8.0,0.0161116769644524,0.0185568767881192,0.0120457760896573,0.0189577754487942,0.008174624286256,0.0271323997350503,interphase,set1_3em_001,set1_3em_001_30
45,3995.0,254.14927829866733,0.7772288021701969,674.4778473091365,208.5924906132666,57,399,13.0,0.0294677390922953,0.0300573665941942,0.0160603467464261,0.0188236498281684,0.0196000805253432,0.0384237303535117,mitotic,set1_3em_001,set1_3em_001_45
48,4415.0,272.6761902332485,0.7461843512617231,848.681087202718,215.5012457531144,56,297,7.0,0.0078573444806633,0.0311679459712525,0.0350668242004616,0.0532573452983518,0.0028404636364164,0.0560978089347683,mitotic,set1_3em_001,set1_3em_001_48
58,3618.0,387.8589103967956,0.3022253438805609,708.822277501382,290.70287451630736,32,275,7.0,0.0069481806400598,0.0100790018015243,0.0076025486255635,0.0060093522508163,0.0054883842504838,0.0114977365013001,interphase,set1_3em_001,set1_3em_001_58
72,7993.0,472.1431816442576,0.4505803337799109,875.4557738020768,356.6024021018391,70,404,9.0,0.0305206832636561,0.0433393701030099,0.0376663015784718,0.0505161830427767,0.0114403292998941,0.0619565123426708,interphase,set1_3em_001,set1_3em_001_72
88,3724.0,250.79393923934,0.7440214602503153,988.3966165413534,401.9033297529538,64,413,9.0,0.0240051462894313,0.0273306143728072,0.0210524790594727,0.0250852716495657,0.0086386239022511,0.0337238955518169,mitotic,set1_3em_001,set1_3em_001_88
90,2215.0,209.58073580374355,0.633695864691237,478.6613995485328,423.3115124153499,60,379,10.0,0.0119460753309476,0.0251856102729275,0.0237523357276897,0.0363381146710438,0.0064240268376651,0.0427621415087089,interphase,set1_3em_001,set1_3em_001_90
93,3191.0,269.27922061357856,0.5530074536606902,324.59730492008777,449.61234722657474,43,327,7.0,0.0749158445398467,0.0707727425304222,0.0657477985514018,0.0940143471120918,0.0087518015961337,0.1027661487082256,interphase,set1_3em_001,set1_3em_001_93
97,4305.0,300.00714267493635,0.6010627727394457,948.774912891986,469.611149825784,62,473,13.0,0.0128366757444379,0.0221726060751864,0.0217196504210395,0.0216730094587895,0.0082280629386597,0.0299010723974492,interphase,set1_3em_001,set1_3em_001_97
98,3343.0,297.373629022557,0.4750522013977411,430.2046066407419,461.2315285671552,95,566,13.0,0.0377611883590076,0.0612650226317239,0.0641164211626944,0.0517358123234321,0.0200529698972699,0.071788782220702,interphase,set1_3em_001,set1_3em_001_98
105,4794.0,316.651803615609,0.6008194198204558,337.6211931581143,491.3032957863997,107,572,12.0,0.0196398610534904,0.0281177225781584,0.0233469463764257,0.0119264049477807,0.0165104133015352,0.028436818249316,interphase,set1_3em_001,set1_3em_001_105
110,3255.0,296.9533188057741,0.4638574008194138,433.1533026113671,492.431643625192,106,503,9.0,0.0139820779793651,0.0303110345714796,0.0282691251575539,0.0499490188061013,0.0052356512469871,0.0551846700530884,interphase,set1_3em_001,set1_3em_001_110
113,3104.0,259.37972567696687,0.5797750518436908,777.0338273195877,508.1617268041237,63,283,5.0,0.0468163608310894,0.0602630067008438,0.0518612284065343,0.0396726387405605,0.0241014513286525,0.0637740900692131,interphase,set1_3em_001,set1_3em_001_113
117,2894.0,240.4507934888324,0.6290076996198257,572.6976503109883,518.3610919143055,48,256,5.0,0.0037173250794547,0.0365315988159323,0.0621485228467234,0.0113739781792016,0.0025818851512648,0.0139558633304664,interphase,set1_3em_001,set1_3em_001_117
119,2559.0,261.45079348883235,0.4704356456089196,472.4638530676045,516.4118796404846,62,473,16.0,0.0212153471284734,0.0235061928809487,0.0195761804048756,0.0176842892124109,0.0092140633771604,0.0268983525895713,interphase,set1_3em_001,set1_3em_001_119
126,3498.0,300.3147545195113,0.4873896806697965,399.0534591194968,533.0177244139509,68,303,8.0,0.0299458613140175,0.1707275429393452,0.3581277089815818,0.0475255103401325,0.0129385714979618,0.0604640818380943,interphase,set1_3em_001,set1_3em_001_126
127,3632.0,261.73506473629425,0.6662418134937556,525.3436123348017,540.5669052863436,46,354,10.0,0.0335818209109562,0.0337093696832153,0.0195322424016118,0.0356564496598604,0.0140643058263986,0.0497207554862591,interphase,set1_3em_001,set1_3em_001_127
128,3783.0,283.17871555019025,0.5928229255151549,320.5099127676447,538.3581813375628,57,235,6.0,0.0322466243189914,0.0662751063156238,0.0627629919967669,0.1043696193243996,0.0158160479142303,0.12018566723863,interphase,set1_3em_001,set1_3em_001_128
130,11509.0,578.0904037956216,0.4327687904466656,852.3667564514727,593.8961682161787,101,339,5.0,0.0613502474038879,0.055353867333673,0.0273259047092201,0.0424455169772034,0.0311838080213802,0.0736293249985837,interphase,set1_3em_001,set1_3em_001_130
131,5205.0,396.56349186104046,0.4159155308888347,760.0155619596542,574.8691642651297,119,438,9.0,0.020436333715913,0.0482872267130998,0.0538515543564183,0.0457678901078172,0.0101951884357418,0.0559630785435591,interphase,set1_3em_001,set1_3em_001_131
133,6654.0,356.22034611053283,0.6589541811691654,637.5952810339645,586.2847911030959,159,603,8.0,0.0353313751851019,0.0505929721266889,0.0472149828635748,0.0592764544753722,0.0116672561841191,0.0709437106594914,interphase,set1_3em_001,set1_3em_001_133
139,6727.0,512.3452377915606,0.3220370829134237,292.7053664337743,658.988999554036,136,455,5.0,0.0282473998079362,0.1245777153092816,0.1332292356158564,0.2193130204300425,0.014905616795266,0.2342186372253086,interphase,set1_3em_001,set1_3em_001_139
143,2548.0,210.33809511662423,0.7237247329361337,401.3308477237049,573.2217425431711,58,321,10.0,0.0212231394175797,0.0210199069631098,0.0170977203869074,0.0308115536461321,0.0037682367801411,0.0345797904262733,mitotic,set1_3em_001,set1_3em_001_143
147,9308.0,410.0904037956216,0.6955158395670759,335.7322733132789,622.354426299957,168,602,7.0,0.0688880897522598,0.0988800949987357,0.1149354631377416,0.0460131120194788,0.0362422398896938,0.0822553519091726,interphase,set1_3em_001,set1_3em_001_147
154,2141.0,226.675144212722,0.5236230184976586,216.8528724894909,659.6772536198039,40,264,5.0,0.0247597824116847,0.0310813775883098,0.0262325150823497,0.0219505565844404,0.0105477420508823,0.0324982986353227,interphase,set1_3em_001,set1_3em_001_154
159,3705.0,362.56349186104046,0.3541848124047259,635.4488529014844,711.1748987854251,112,450,9.0,0.013552321251448,0.0179234713482005,0.013323809731367,0.0052285901830063,0.0116834831789282,0.0169120733619345,interphase,set1_3em_001,set1_3em_001_159
163,3493.0,301.8711037056153,0.4816874867688255,75.77927283137704,730.2473518465503,16,100,5.0,0.0148949699909416,0.020774151061082,0.0162665466412234,0.0223573824053326,0.0098119993161138,0.0321693817214464,interphase,set1_3em_001,set1_3em_001_163
164,6507.0,343.9482681718907,0.6912010936656448,348.9538958045182,744.6141078838174,153,631,7.0,0.0723603747114011,0.0621266119137211,0.0476401439717954,0.0781773649949433,0.0159440324730005,0.0941213974679438,interphase,set1_3em_001,set1_3em_001_164
168,5041.0,321.37972567696687,0.6133235066034787,226.5891688157112,764.5723070819282,62,264,5.0,0.0082293912513024,0.0090070351908752,0.0028861961846484,0.0059365133264722,0.0062852079823245,0.0122217213087968,interphase,set1_3em_001,set1_3em_001_168
180,3626.0,232.36753236814715,0.8438918093996611,568.0284059569774,795.5766685052399,89,325,5.0,0.0103255582950123,0.0191550193829447,0.0147258986720373,0.0312271977710665,0.0057929487560315,0.0370201465270981,mitotic,set1_3em_001,set1_3em_001_180
182,5666.0,340.8233764908628,0.6129537197695292,707.4634662901518,823.4602894458171,88,400,10.0,0.0091264082564358,0.0140116741990119,0.0124786888451943,0.0152851594765427,0.0041422784175952,0.019427437894138,interphase,set1_3em_001,set1_3em_001_182
199,2304.0,204.953318805774,0.6892589725307106,608.23046875,862.7322048611111,64,266,5.0,0.0154590765320699,0.0493704408867423,0.0681085227969399,0.0098777817810459,0.0137227628664204,0.0236005446474663,interphase,set1_3em_001,set1_3em_001_199
214,4965.0,297.9777054234136,0.7026864414288586,754.6986908358509,917.860422960725,86,416,7.0,0.0242167128193065,0.0245587565078921,0.0147545956879228,0.0111243169533983,0.0168602096625856,0.0279845266159839,mitotic,set1_3em_001,set1_3em_001_214
215,4107.0,264.24978336205567,0.7391035478814045,663.0216703189676,913.254443632822,100,477,10.0,0.0142587717409981,0.0230121620156712,0.0232507847954176,0.0252860572975908,0.0093558653836814,0.0346419226812722,mitotic,set1_3em_001,set1_3em_001_215
220,2940.0,253.2670273047588,0.5759700335311887,709.993537414966,943.038775510204,69,352,11.0,0.0263932967463585,0.0690554627226259,0.0830569552317164,0.0660867346854205,0.0168269758010596,0.0829137104864802,interphase,set1_3em_001,set1_3em_001_220
223,4818.0,307.4629867976521,0.640458473927529,634.0062266500622,956.6585720215858,141,734,12.0,0.0694360102792715,0.1454060101410534,0.2713104004057394,0.1048098525304986,0.0112073696678439,0.1160172221983425,interphase,set1_3em_001,set1_3em_001_223
224,3260.0,243.1370849898476,0.6929869447301517,473.4352760736196,938.5257668711656,62,304,6.0,0.0244150999532675,0.0309320721247794,0.0257641893551968,0.0152292700333476,0.0174281530553951,0.0326574230887428,interphase,set1_3em_001,set1_3em_001_224
228,3521.0,239.88225099390857,0.7689173457256924,340.9440499857995,943.5362113036068,99,409,9.0,0.0089905924732249,0.0394719665976019,0.0744617354467141,0.0184476426598704,0.0064766400810976,0.0249242827409681,mitotic,set1_3em_001,set1_3em_001_228
234,3902.0,268.79393923934,0.6786692702324331,590.2416709379805,988.3170169144028,78,362,5.0,0.013165142598861,0.0174179635034897,0.0154242498388376,0.0103059313631785,0.00549934727025,0.0158052786334286,interphase,set1_3em_001,set1_3em_001_234
239,3102.0,237.73506473629428,0.6897078548565534,515.1447453255964,992.0519019987104,64,272,6.0,0.0204307809219966,0.0315600327803134,0.0261136504632124,0.0242062799671557,0.0147482259290055,0.0389545058961613,interphase,set1_3em_001,set1_3em_001_239
