Location,N_trajectories,Mean,Median,Std,SEM,CI_lower,CI_upper,Min,Max,N_subdiffusion,N_normal,N_superdiffusion
Inside ROIs,760,0.9880689532374956,0.9879804253625788,0.24126439550210446,0.008751579446696276,0.9707098391311196,1.005845188718183,0.5009853017979395,1.4974200223774432,286,209,265
Outside ROIs,5677,0.944594324933723,0.9325426677997052,0.24391491357570805,0.0032372698899588567,0.9382062923272318,0.9509689912736174,0.5005591959279411,1.4993223824595412,2566,1531,1580
