Inside_ROIs_D,Outside_ROIs_D
0.0011101288702653317,0.00040386963793251926
0.004340910607767551,0.09071214974381664
0.2554144644294536,-0.007587957915469873
0.03456432422761263,0.010980056952948233
0.16518398402801618,0.02287540048905608
0.1870061147855234,0.00980269147188848
0.0897816892177723,0.012856487718610528
0.07006854570062163,0.0014527197975512049
0.12641248845270267,0.007692792469710698
0.07403820046594337,0.003949150920702661
0.10138169230726696,0.017596280081543382
0.006622496673085469,0.00908575077483154
0.0026456488047024813,0.004196073134736238
0.26743768496494397,0.0016939963125113206
0.14655619443658086,0.0013161960738693743
0.05498294418607526,0.033475011027929866
0.04647171720329391,0.07930908537052075
0.041300378127970716,0.005678386133855514
0.0527774136816632,0.012457019503699195
-0.012768231338854179,0.010100775023034551
0.11474717180256475,0.00108025088828046
0.15058805592186988,0.020478305115248018
0.0015834722735770673,0.00820451052349
0.030984262050936722,0.07529357986612616
0.05375445690169675,0.0015371924498058125
0.08563351377091398,0.0043583716280831105
0.11856741370692112,0.005361936183659369
0.03459867838210686,0.003507003759608413
0.1034802632180505,0.05013832472529989
0.1772442258664668,0.10674138920959676
0.07587671111340552,0.08375665414915213
0.07922128099613296,0.003506813684072406
0.03724515483352062,0.23817827480728307
0.16613146737421172,0.0018843078377153242
0.33398986300013883,0.08306695460437141
0.185592525287899,0.07591976654061734
0.06318395134005364,0.0651867314084333
0.29185956526423273,0.007630435389370944
0.01161283034042815,0.004604140856948225
0.15473597119013038,0.14538589584127512
0.004679984989049379,0.23070905495432517
0.4033590583006503,0.02291795748015732
0.1530256175298443,0.0005918960693285898
0.03626687306526728,0.10530226338100741
0.0015790761395862395,0.13132004731978442
0.23268984448028474,0.10413889985614667
0.0685259971626466,0.030584017771474643
0.22841130035396753,0.015940204381552442
0.018860777953789494,0.09080415211377699
0.16922440574644299,0.004187465882480762
0.15194633410279623,0.0014920470635265885
0.2360997943183896,0.08763894479683763
0.0943000349305009,0.0022468078844755076
0.016066933299575138,0.008581460109854626
0.12872013890851006,0.003224548731430249
0.06782438403708564,0.04701919774224406
0.10185454943124712,0.1871460830122646
0.14306230463212682,0.010722767770432538
0.09494389248739574,0.351055428080982
0.2367481396446856,0.027281508701213215
0.15167713704909513,0.05174639811202817
0.13573686769427004,0.05995098102162548
0.038619077213106694,0.04332893089050071
0.015395073802694814,0.09087190709193196
0.0023985823343972003,0.05043335181199018
0.08672771475329465,0.022589602834505316
0.03558609712556358,0.07469706199415996
0.04144577802855417,0.1663611329217363
0.22628768340457633,0.022597602094312462
