Location,N_trajectories,Mean,Median,Std,SEM,CI_lower,CI_upper,Min,Max,N_subdiffusion,N_normal,N_superdiffusion
Inside ROIs,1665,0.9909033967195191,0.9863099258386887,0.24470093039613044,0.005996923402239807,0.979118971108506,1.002458647720503,0.502088902768268,1.49922982954371,644,442,579
Outside ROIs,1914,0.9675411553925574,0.9491088054174623,0.2415423068489065,0.005521057154133777,0.9576157498923409,0.9784779827771283,0.5001643139559947,1.498432994100521,793,543,578
