track_id,length,D,offset,r_squared,embryo
6,13,0.0025616975735513674,0.0038150435124026895,0.4281115548371237,Traj_G_AMP_003.nd2_crop
25,12,-0.00022641800793716567,0.00375966401086536,0.0366490318873417,Traj_G_AMP_003.nd2_crop
50,18,0.0043942932724253874,0.00863439548334181,0.9251072763360555,Traj_G_AMP_003.nd2_crop
53,15,0.0017224773179832437,0.0017819554146083236,0.43841884902278994,Traj_G_AMP_003.nd2_crop
56,11,0.008139213508770832,0.004648226303405331,1.0,Traj_G_AMP_003.nd2_crop
84,14,0.020754634406340115,0.01212794991283538,0.9457123283634933,Traj_G_AMP_003.nd2_crop
88,12,0.021579870952149815,0.04967320710184619,0.8609947589594448,Traj_G_AMP_003.nd2_crop
98,10,0.09319400677155897,0.005621438575263635,1.0,Traj_G_AMP_003.nd2_crop
122,17,0.0677534546956351,0.021970780059268717,0.9324809171950623,Traj_G_AMP_003.nd2_crop
141,11,0.06554739659248188,0.0013308789055763018,1.0,Traj_G_AMP_003.nd2_crop
155,11,0.006385672562112632,0.004989449736986145,1.0,Traj_G_AMP_003.nd2_crop
166,18,0.04944608187424305,0.0011600741127984376,0.9964614204561555,Traj_G_AMP_003.nd2_crop
185,10,0.043432045574882616,0.009927527135534133,1.0,Traj_G_AMP_003.nd2_crop
203,13,0.08730447367119035,0.001250522136527486,0.9343588840376469,Traj_G_AMP_003.nd2_crop
257,15,0.0722076499200589,0.01643919045022441,0.9363362823694058,Traj_G_AMP_003.nd2_crop
261,12,0.14023653105668993,0.023498749446091843,0.9303292209287759,Traj_G_AMP_003.nd2_crop
263,12,0.03710701934087032,0.009733787040215896,0.9030651375591644,Traj_G_AMP_003.nd2_crop
270,15,0.03429967300741165,0.0030100744210784227,0.9971333764454182,Traj_G_AMP_003.nd2_crop
276,15,0.0953158016936091,-0.0011161874834075974,0.9940276271398938,Traj_G_AMP_003.nd2_crop
281,11,0.08649168538688148,-0.005195761825871185,1.0,Traj_G_AMP_003.nd2_crop
284,11,0.0010840591582134277,0.006783674861600759,1.0,Traj_G_AMP_003.nd2_crop
291,20,0.0015358326515576273,0.0023187012495830433,0.9229122093166757,Traj_G_AMP_003.nd2_crop
352,16,0.016094853999163047,0.003945969689492314,0.990247512342988,Traj_G_AMP_003.nd2_crop
364,13,0.06242971880251682,0.019844156798909437,0.7800924361359594,Traj_G_AMP_003.nd2_crop
392,11,0.021560184948381036,0.04181768611913719,1.0,Traj_G_AMP_003.nd2_crop
413,15,0.001695537692907576,0.0009390111472351257,0.9064466395381919,Traj_G_AMP_003.nd2_crop
449,10,0.20600323638049553,-0.025161912673261524,1.0,Traj_G_AMP_003.nd2_crop
453,15,0.09275113177772017,-0.011107320885384282,0.998251150560563,Traj_G_AMP_003.nd2_crop
489,16,0.07881257304766329,0.001769961833546847,0.9919376102421377,Traj_G_AMP_003.nd2_crop
587,13,0.03645595216788558,0.010111737644034608,0.9668016557831374,Traj_G_AMP_003.nd2_crop
633,10,0.2393151942935033,-0.018134211603792662,1.0,Traj_G_AMP_003.nd2_crop
638,12,0.12839061121091055,-0.0036092359277643876,0.9810213986304349,Traj_G_AMP_003.nd2_crop
750,12,0.08167310461502036,0.008437800017788072,0.9827940529019167,Traj_G_AMP_003.nd2_crop
772,16,0.024231753753970065,0.030740211766542715,0.8632954450652408,Traj_G_AMP_003.nd2_crop
807,17,0.05352988077737269,0.03351329136061447,0.8063219791380596,Traj_G_AMP_003.nd2_crop
