track_id,length,D,offset,r_squared,embryo
44,12,0.017030082005021333,0.013044890370668765,0.7573181815298962,Traj_Anterior_Set4007.nd2_crop.tif
76,12,0.019827996458734114,0.002546271761735782,0.999714498753484,Traj_Anterior_Set4007.nd2_crop.tif
111,11,0.18359933216581206,-0.008574389583699441,1.0,Traj_Anterior_Set4007.nd2_crop.tif
131,10,0.064150205643602,0.025591121667479427,1.0,Traj_Anterior_Set4007.nd2_crop.tif
157,13,0.06583978256711265,-0.0009653027201845087,0.9770390612136753,Traj_Anterior_Set4007.nd2_crop.tif
296,10,0.2177977536013801,-0.03275294216815565,1.0,Traj_Anterior_Set4007.nd2_crop.tif
305,16,0.15781584878085245,-0.03359926127440979,0.9851233443303629,Traj_Anterior_Set4007.nd2_crop.tif
326,10,0.07122890052161183,0.02152743484608377,1.0,Traj_Anterior_Set4007.nd2_crop.tif
332,14,0.02988812971658689,0.00789045619420554,0.9988349415609684,Traj_Anterior_Set4007.nd2_crop.tif
351,14,0.014637195563887618,0.017301237292312643,0.5555256013582348,Traj_Anterior_Set4007.nd2_crop.tif
393,12,0.060735867405020405,-0.0022535883841204103,0.9969311394590394,Traj_Anterior_Set4007.nd2_crop.tif
430,10,0.208304023766812,-0.043706249081475454,1.0,Traj_Anterior_Set4007.nd2_crop.tif
661,14,0.02682054213365237,-0.0013431931822614877,0.9955811104602419,Traj_Anterior_Set4007.nd2_crop.tif
844,19,0.06128649259065016,0.012669651380520092,0.99668682788017,Traj_Anterior_Set4007.nd2_crop.tif
899,10,0.17381221519423057,-0.0008174788763781327,1.0,Traj_Anterior_Set4007.nd2_crop.tif
908,20,0.04056252319989776,-0.0012269963830538826,0.888582246492359,Traj_Anterior_Set4007.nd2_crop.tif
940,10,0.14741281179513624,0.00936385400733434,1.0,Traj_Anterior_Set4007.nd2_crop.tif
1072,14,0.2030485241750696,-0.004032771978560939,0.9988723584589969,Traj_Anterior_Set4007.nd2_crop.tif
